Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate
0000000008,000008,Adoptive parent,Bishop,Richard,Mark,,2000-10-28,63248,CALDWELL,New Cynthiaside,Male,Yes,Employed,2021-08-11
0000000009,000009,Grandmother,Arias,Megan,Brooke,,1971-03-19,63008,JASPER,Lake Mark,Female,Yes,Employed,2023-01-31
0000000009,000009,Foster Parent,White,Brendan,Phillip,,1970-05-19,63008,JASPER,Lake Mark,Male,Yes,Unemployed,2021-12-03
0000000010,000010,Grandfather,Robinson,Kevin,Jack,,2005-06-05,63491,KNOX,Adamsborough,Male,No,Employed,2022-05-14
0000000011,000011,Foster mother,Jennings,Samantha,Mandy,,1995-12-15,64513,DEKALB,Fostermouth,Female,No,Unemployed,2022-08-11
0000000012,000012,Uncle,Tran,Aaron,,,1973-03-07,63208,VERNON,Hurstfurt,Male,No,Employed,2023-08-01
0000000012,000012,Stepmother,Ryan,Catherine,Barbara,,1992-10-04,63208,VERNON,Hurstfurt,Female,Yes,Employed,2023-04-16
0000000013,000013,Foster Parent,Bass,Cody,,,1977-02-08,63860,HOWELL,Port Danielburgh,Male,Yes,Part-time,2022-11-23
0000000013,000013,Foster father,Charles,Albert,,,1979-06-18,63860,HOWELL,Port Danielburgh,Male,No,Employed,2024-06-21
0000000014,000014,Stepmother,James,Joyce,Madison,,1985-04-24,63158,WAYNE,Riceside,Female,No,Employed,2024-01-13
0000000014,000014,Aunt,Smith,Melissa,,,1970-05-17,63158,WAYNE,Riceside,Female,No,Part-time,2021-09-06
0000000015,000015,Court appointed guardian,Goodman,Kevin,Zachary,,2006-04-20,64284,SCOTLAND,Kaylamouth,Male,No,Employed,2023-01-14
0000000015,000015,Adoptive parent,Chung,Grant,,,1978-03-27,64284,SCOTLAND,Kaylamouth,Male,Yes,Not in Labor Force,2024-12-11
0000000016,000016,Foster mother,Moreno,Teresa,Sarah,,1979-12-06,65855,KNOX,Teresaburgh,Female,Yes,Employed,2022-04-01
0000000016,000016,Foster father,Castillo,Scott,Theodore,,1984-04-26,65855,KNOX,Teresaburgh,Male,Yes,Employed,2021-07-08
0000000017,000017,Foster mother,Graham,Dominique,Katherine,,1974-07-15,63962,STONE,East Nathaniel,Female,No,Unemployed,2023-06-25
0000000018,000018,Stepfather,Sellers,Mark,Steven,,1996-05-16,63497,VERNON,Tracyville,Male,No,Employed,2023-06-02
0000000018,000018,Stepmother,Sellers,Brandi,Brenda,,2006-12-01,63497,VERNON,Tracyville,Female,Yes,Employed,2025-09-08
0000000019,000019,Grandfather,Hanson,Ryan,Anthony,,1995-02-11,64309,HICKORY,East Natalieland,Male,Yes,Employed,2024-10-26
0000000020,000020,Court appointed guardian,Callahan,Joseph,,,1990-11-17,65470,STE. GENEVIEVE,East Donna,Male,Yes,Part-time,2024-10-16
0000000020,000020,Foster Parent,Reeves,Douglas,,,1994-07-14,65470,STE. GENEVIEVE,East Donna,Male,Yes,Employed,2022-01-18
0000000021,000021,Stepfather,Rose,Daniel,Brian,,1995-06-20,64552,HOLT,Brandtside,Male,No,Employed,2021-03-21
0000000022,000022,Foster mother,Mckinney,Jade,Lindsay,,1976-12-01,65481,CHRISTIAN,Carneystad,Female,Yes,Not in Labor Force,2024-08-24
0000000022,000022,Grandfather,Fitzgerald,Joshua,Charles,,1983-06-20,65481,CHRISTIAN,Carneystad,Male,No,Unemployed,2024-09-17
0000000023,000023,Adoptive parent,Rios,James,Isaac,,1971-10-15,63051,HOLT,Andrewside,Male,No,Unemployed,2021-12-22
0000000023,000023,Father,Walker,Daniel,,,1973-11-28,63051,HOLT,Andrewside,Male,No,Part-time,2023-06-29
0000000024,000024,Mother,Welch,Hannah,Donna,,1990-04-06,64552,PUTNAM,North Rebecca,Female,No,Not in Labor Force,2025-09-07
0000000024,000024,Uncle,Snyder,Daniel,Steve,,1971-03-02,64552,PUTNAM,North Rebecca,Male,No,Employed,2024-11-25
0000000025,000025,Stepmother,Young,Angela,,,1987-02-07,64511,OREGON,Lewisberg,Female,Yes,Part-time,2021-09-16
0000000025,000025,Mother,Young,Regina,,,2007-09-02,64511,OREGON,Lewisberg,Female,No,Unemployed,2023-07-01
0000000026,000026,Uncle,Herrera,Ronald,,,1998-02-26,64123,CARROLL,Aguirreborough,Male,Yes,Not in Labor Force,2025-12-03
0000000026,000026,Grandfather,Flores,Adam,,,1982-10-24,64123,CARROLL,Aguirreborough,Male,Yes,Unemployed,2023-09-10
0000000027,000027,Stepfather,Gomez,Shaun,Paul,,1986-08-02,63485,DEKALB,Owenston,Male,No,Unemployed,2022-04-29
0000000027,000027,Grandfather,Mendez,Alan,Christopher,Jr.,1981-07-06,63485,DEKALB,Owenston,Male,Yes,Unemployed,2023-07-29
0000000028,000028,Grandmother,Clark,Renee,Terri,,2002-09-23,64192,MACON,Laurenville,Female,Yes,Employed,2022-07-27
0000000028,000028,Stepmother,Powell,Megan,,,1983-11-16,64192,MACON,Laurenville,Female,No,Employed,2022-02-21
0000000029,000029,Grandmother,Jones,Lisa,Diana,,1995-06-01,64648,REYNOLDS,Stevenland,Female,Yes,Employed,2021-04-17
0000000029,000029,Foster mother,Flores,Erica,,,1990-03-16,64648,REYNOLDS,Stevenland,Female,No,Employed,2023-08-31
0000000030,000030,Court appointed guardian,Hickman,Christopher,Eddie,,1987-02-16,65014,STONE,North Sarabury,Male,Yes,Unemployed,2022-04-27
0000000031,000031,Court appointed guardian,Hayes,Jonathan,David,,1988-11-09,65561,MARION,East Nicholasfurt,Male,No,Part-time,2024-10-28
0000000032,000032,Mother,Henderson,Kristin,,,1997-09-30,64976,TANEY,Mooreport,Female,No,Employed,2026-02-20
0000000032,000032,Foster father,Long,Matthew,,,1995-03-26,64976,TANEY,Mooreport,Male,Yes,Employed,2025-04-23
0000000033,000033,Stepfather,Brown,Gerald,Jordan,,1982-05-23,63772,HENRY,Brianshire,Male,No,Not in Labor Force,2024-09-29
0000000033,000033,Foster father,Martin,Adam,Jonathan,,1976-07-02,63772,HENRY,Brianshire,Male,Yes,Unemployed,2024-05-12
0000000034,000034,Stepmother,Brown,Vicki,,,1979-05-14,63306,CEDAR,Port Jacobland,Female,Yes,Employed,2024-10-12
0000000035,000035,Stepfather,Zamora,Joshua,Justin,,1974-08-20,63681,LINCOLN,New Brooke,Male,No,Part-time,2024-08-08
0000000035,000035,Uncle,Ward,Terry,Carlos,,1973-07-29,63681,LINCOLN,New Brooke,Male,Yes,Employed,2021-12-11
0000000036,000036,Foster father,Simmons,Ronald,David,,1977-08-01,63302,CHARITON,Sarahborough,Male,Yes,Employed,2023-01-27
0000000036,000036,Mother,Silva,Amanda,Stacey,,1992-10-28,63302,CHARITON,Sarahborough,Female,Yes,Employed,2022-12-22
0000000037,000037,Adoptive parent,Edwards,Christopher,Andrew,,1972-09-02,63942,GASCONADE,Stephenland,Male,No,Unemployed,2023-07-02
0000000037,000037,Foster father,Tapia,Micheal,Donald,,2000-08-18,63942,GASCONADE,Stephenland,Male,Yes,Employed,2024-10-01
0000000038,000038,Uncle,Barnett,Joel,,,1980-06-22,65055,MONITEAU,North Amandahaven,Male,Yes,Employed,2022-11-30
0000000039,000039,Court appointed guardian,Gonzales,Robert,,,1986-09-17,65615,SULLIVAN,Justinmouth,Male,No,Employed,2023-09-16
0000000039,000039,Grandmother,Sandoval,Jennifer,Christie,,1976-05-15,65615,SULLIVAN,Justinmouth,Female,No,Employed,2025-12-07
0000000040,000040,Aunt,West,Rebecca,Sandra,,1995-03-31,65852,SHANNON,Lake Lisaport,Female,No,Employed,2021-04-13
0000000040,000040,Foster mother,Miller,Madison,Kimberly,,1979-07-10,65852,SHANNON,Lake Lisaport,Female,No,Employed,2026-01-26
0000000041,000041,Mother,Humphrey,Kelly,Laura,,2004-11-19,63868,PULASKI,Darrellville,Female,Yes,Unemployed,2021-08-27
0000000042,000042,Aunt,Nicholson,Nicole,Sarah,,1982-11-24,63974,HOWELL,Jamesview,Female,Yes,Unemployed,2023-03-11
0000000042,000042,Foster father,Gonzales,Robert,James,,2004-06-08,63974,HOWELL,Jamesview,Male,No,Unemployed,2024-01-29
0000000043,000043,Grandmother,Ross,Gina,Debra,,1971-04-05,64319,BUCHANAN,Calderonton,Female,No,Employed,2023-07-30
0000000043,000043,Aunt,Cole,Laura,Rachel,,1981-10-19,64319,BUCHANAN,Calderonton,Female,Yes,Employed,2021-07-13
0000000044,000044,Foster Parent,Owens,Steven,Sergio,,2000-07-01,65813,CEDAR,Evanmouth,Male,No,Employed,2021-10-19
0000000045,000045,Grandmother,Smith,Brittany,Christine,,1996-11-27,65278,VERNON,New Barry,Female,Yes,Employed,2022-11-27
0000000045,000045,Adoptive parent,Sawyer,David,Jesse,,1986-11-22,65278,VERNON,New Barry,Male,Yes,Employed,2024-06-10
0000000046,000046,Foster father,Hernandez,Frank,Colton,,1993-08-12,63375,AUDRAIN,Rachelton,Male,Yes,Employed,2022-12-03
0000000046,000046,Uncle,Patel,Kevin,Michael,,1990-01-27,63375,AUDRAIN,Rachelton,Male,No,Employed,2023-12-08
0000000047,000047,Mother,Garcia,Rachel,Heather,,1989-03-26,65429,RALLS,Dicksonberg,Female,Yes,Employed,2022-01-11
0000000047,000047,Father,Garcia,Jimmy,Christopher,,1993-04-01,65429,RALLS,Dicksonberg,Male,Yes,Not in Labor Force,2025-11-26
0000000048,000048,Stepmother,Marsh,Cindy,Misty,,1996-10-11,64883,ATCHISON,South Angel,Female,Yes,Employed,2025-08-13
0000000048,000048,Aunt,Santana,Lori,Carla,,1971-04-19,64883,ATCHISON,South Angel,Female,No,Unemployed,2025-03-27
0000000049,000049,Foster father,Wade,David,Jonathan,,1977-08-01,65090,BOONE,West Erik,Male,No,Part-time,2024-03-09
0000000049,000049,Foster mother,Mitchell,Kelsey,Pamela,,1981-01-09,65090,BOONE,West Erik,Female,Yes,Part-time,2021-10-31
0000000050,000050,Grandmother,Richards,Jordan,,,1978-12-29,64801,CEDAR,Port Samantha,Female,Yes,Unemployed,2024-10-08
0000000050,000050,Mother,Ruiz,Jenna,,,1995-11-19,64801,CEDAR,Port Samantha,Female,Yes,Part-time,2021-10-23
0000000051,000051,Stepfather,Walker,David,Billy,,1998-01-04,64845,BENTON,South Mark,Male,Yes,Part-time,2023-03-28
0000000052,000052,Mother,Ramirez,Jordan,Carol,,2007-01-23,65689,SCHUYLER,Frazierside,Female,Yes,Employed,2023-07-10
0000000052,000052,Foster Parent,Hooper,Gavin,,,1978-09-26,65689,SCHUYLER,Frazierside,Male,Yes,Employed,2022-04-30
0000000053,000053,Aunt,Myers,Emily,April,,1976-02-29,63786,MARIES,Benjaminchester,Female,Yes,Employed,2025-06-01
0000000053,000053,Uncle,Lee,Jason,,,1980-06-03,63786,MARIES,Benjaminchester,Male,Yes,Employed,2021-06-13
0000000054,000054,Uncle,Davis,Dennis,Shawn,,1985-04-17,64838,GASCONADE,South Rachelborough,Male,No,Unemployed,2022-02-19
0000000054,000054,Aunt,Thompson,Sonia,Victoria,,2003-05-10,64838,GASCONADE,South Rachelborough,Female,No,Employed,2022-03-19
0000000055,000055,Foster mother,Hawkins,Carolyn,Sheila,,1977-01-26,63510,VERNON,West Ryan,Female,No,Employed,2022-03-29
0000000055,000055,Aunt,Hill,Holly,Amanda,,1983-12-25,63510,VERNON,West Ryan,Female,No,Employed,2025-02-25
0000000056,000056,Mother,Alvarado,Autumn,Susan,,1994-12-12,64935,TANEY,Lake Rachelhaven,Female,No,Employed,2022-09-08
0000000057,000057,Grandfather,Thomas,Devin,Dylan,,1973-02-06,64193,CASS,East Robert,Male,No,Employed,2023-06-29
0000000058,000058,Foster Parent,Johnston,Derek,,,1981-04-16,65383,ST. CLAIR,Richardtown,Male,No,Unemployed,2023-12-30
0000000059,000059,Stepfather,Lawson,John,Dylan,,1999-03-28,63782,PLATTE,Stevenmouth,Male,No,Employed,2021-07-24
0000000059,000059,Foster father,White,Julian,Nathan,,1993-12-03,63782,PLATTE,Stevenmouth,Male,Yes,Part-time,2022-08-28
0000000060,000060,Court appointed guardian,Rodriguez,David,,,1984-02-08,64343,BUCHANAN,Lake Christopher,Male,Yes,Part-time,2021-12-17
0000000060,000060,Foster mother,Russell,Ashley,Veronica,,1998-09-30,64343,BUCHANAN,Lake Christopher,Female,No,Employed,2024-05-13
0000000061,000061,Foster father,King,Christopher,,,1984-11-16,64500,PLATTE,Lake Lance,Male,Yes,Employed,2022-01-17
0000000061,000061,Mother,Cardenas,Linda,Kathryn,,1986-12-16,64500,PLATTE,Lake Lance,Female,Yes,Employed,2022-06-03
0000000062,000062,Stepfather,Riggs,Nicholas,Frank,,1994-12-04,63819,MARIES,South Robertshire,Male,Yes,Part-time,2024-04-06
0000000062,000062,Foster mother,Duran,Kelsey,Kathleen,,1991-10-24,63819,MARIES,South Robertshire,Female,No,Unemployed,2021-09-30
0000000063,000063,Grandmother,Marshall,Cynthia,April,,2000-12-01,63531,MORGAN,East Diana,Female,No,Employed,2022-06-18
0000000063,000063,Court appointed guardian,Curtis,William,,,2000-06-09,63531,MORGAN,East Diana,Male,Yes,Employed,2022-04-04
0000000064,000064,Stepmother,Rodriguez,Diana,Sophia,Jr.,1976-11-24,63663,CHRISTIAN,Robinsonhaven,Female,Yes,Employed,2024-08-04
0000000064,000064,Foster father,Morgan,David,,,1987-11-06,63663,CHRISTIAN,Robinsonhaven,Male,Yes,Unemployed,2025-08-07
0000000065,000065,Uncle,Nguyen,Christopher,,,1977-08-17,65343,ST. CLAIR,South Dennismouth,Male,Yes,Employed,2021-07-15
0000000066,000066,Foster mother,King,Misty,Anna,,2007-05-21,65300,MILLER,Salazarhaven,Female,Yes,Not in Labor Force,2025-09-04
0000000067,000067,Court appointed guardian,Bowman,David,John,,2001-07-16,64445,OREGON,Lake Michelle,Male,Yes,Part-time,2023-01-28
0000000067,000067,Stepmother,Griffin,Carol,Christine,,1971-12-17,64445,OREGON,Lake Michelle,Female,Yes,Employed,2025-03-31
0000000068,000068,Grandfather,Perry,Benjamin,Derrick,,1986-05-03,63486,PERRY,Simsview,Male,Yes,Employed,2024-11-02
0000000069,000069,Aunt,Johnson,Leslie,Ashley,,2000-11-24,65087,MERCER,Luisside,Female,Yes,Employed,2024-02-17
0000000069,000069,Mother,Young,Jennifer,Nicole,,2004-11-08,65087,MERCER,Luisside,Female,Yes,Employed,2024-03-11
0000000070,000070,Father,Hernandez,Stanley,,,1975-09-29,65788,SULLIVAN,North Robert,Male,No,Employed,2025-06-13
0000000071,000071,Stepfather,Wall,Austin,Thomas,,1992-11-13,65768,HOWELL,Steinshire,Male,No,Employed,2024-08-27
0000000071,000071,Foster Parent,Coleman,Andrew,George,,2002-06-09,65768,HOWELL,Steinshire,Male,Yes,Employed,2022-06-27
0000000072,000072,Father,Johnston,Bradley,Kevin,,1974-01-17,63599,ST. CLAIR,Smithstad,Male,Yes,Part-time,2025-08-29
0000000072,000072,Grandmother,Ritter,Emily,Brenda,,1973-04-01,63599,ST. CLAIR,Smithstad,Female,Yes,Employed,2021-05-17
0000000073,000073,Stepmother,Snow,Susan,Pam,,1977-04-09,63021,CARTER,Medinaside,Female,No,Part-time,2026-01-26
0000000073,000073,Adoptive parent,Oliver,Christopher,Timothy,,1985-12-13,63021,CARTER,Medinaside,Male,No,Employed,2026-02-17
0000000074,000074,Uncle,Hayden,Scott,,,1994-06-07,63153,GENTRY,Johnsonmouth,Male,Yes,Employed,2021-09-20
0000000074,000074,Foster Parent,Oneal,Christopher,Julian,,1980-03-13,63153,GENTRY,Johnsonmouth,Male,No,Employed,2024-08-31
0000000075,000075,Stepfather,Pittman,Joshua,Charles,,1971-07-21,65616,WARREN,New Amanda,Male,Yes,Employed,2023-06-20
0000000076,000076,Court appointed guardian,James,James,,,1993-02-16,65058,RANDOLPH,Taylormouth,Male,No,Employed,2024-05-04
0000000077,000077,Court appointed guardian,Green,Vincent,Jonathan,,1971-05-22,65310,BOONE,Kathleenfurt,Male,Yes,Not in Labor Force,2021-06-18
0000000077,000077,Adoptive parent,Massey,Austin,Bradley,,1975-05-05,65310,BOONE,Kathleenfurt,Male,No,Unemployed,2023-02-12
0000000078,000078,Foster mother,Freeman,Maria,Courtney,,1979-07-13,63892,SHANNON,Smithside,Female,Yes,Unemployed,2025-05-17
0000000078,000078,Stepfather,Conley,Thomas,,,1972-09-24,63892,SHANNON,Smithside,Male,Yes,Not in Labor Force,2026-01-21
0000000079,000079,Mother,Jones,Lauren,Carolyn,,1996-12-06,63731,CAPE GIRARDEAU,Port Anthonybury,Female,No,Part-time,2025-05-16
0000000079,000079,Foster Parent,Greene,Patrick,Michael,,1987-07-10,63731,CAPE GIRARDEAU,Port Anthonybury,Male,No,Not in Labor Force,2022-10-10
0000000080,000080,Foster father,Kim,John,,,2004-03-07,65880,RALLS,New Staciemouth,Male,No,Not in Labor Force,2025-08-24
0000000080,000080,Grandmother,Jackson,Michaela,Lisa,,1978-11-18,65880,RALLS,New Staciemouth,Female,No,Employed,2022-11-09
0000000081,000081,Stepfather,Jackson,Jonathan,,,1991-12-31,65276,LAWRENCE,Port Loriport,Male,No,Employed,2024-06-15
0000000082,000082,Court appointed guardian,Nichols,Kyle,,,2001-10-06,64519,LINN,Sandersborough,Male,No,Employed,2023-02-08
0000000082,000082,Father,Byrd,Jeffrey,John,,1997-07-06,64519,LINN,Sandersborough,Male,Yes,Unemployed,2021-08-27
0000000083,000083,Uncle,Nelson,Jacob,Daniel,,1995-09-19,65261,DAVIESS,Melissaville,Male,No,Employed,2021-09-02
0000000083,000083,Stepmother,Garcia,April,Diana,,2002-05-05,65261,DAVIESS,Melissaville,Female,Yes,Part-time,2024-01-03
0000000084,000084,Grandfather,Peterson,William,,,2000-11-17,64351,COLE,Caseymouth,Male,Yes,Not in Labor Force,2024-11-12
0000000084,000084,Stepmother,Patel,Shelly,,,1990-04-29,64351,COLE,Caseymouth,Female,No,Employed,2024-12-29
0000000085,000085,Grandfather,Maynard,Mark,Malik,,1986-04-29,65583,TEXAS,Cynthiamouth,Male,Yes,Employed,2021-03-25
0000000085,000085,Foster mother,Parker,Lisa,Christine,,1987-12-10,65583,TEXAS,Cynthiamouth,Female,No,Employed,2025-09-28
0000000086,000086,Father,Sheppard,Alan,John,,2002-04-11,65147,CALDWELL,Christinaside,Male,Yes,Employed,2025-02-21
0000000086,000086,Grandfather,Carter,Brandon,Brandon,,1984-12-14,65147,CALDWELL,Christinaside,Male,Yes,Part-time,2024-06-21
0000000087,000087,Foster father,Mitchell,James,Ryan,,1974-02-06,65317,HICKORY,Melissaland,Male,No,Employed,2021-04-09
0000000087,000087,Uncle,Reed,Richard,Scott,,1981-04-22,65317,HICKORY,Melissaland,Male,No,Employed,2023-08-31
0000000088,000088,Stepfather,Hudson,William,Lawrence,,1979-01-20,64593,TANEY,Rogersfort,Male,Yes,Not in Labor Force,2023-03-08
0000000088,000088,Court appointed guardian,Moore,David,,,1980-08-29,64593,TANEY,Rogersfort,Male,Yes,Employed,2022-05-18
0000000089,000089,Stepmother,Salinas,Patricia,Pamela,,2006-01-27,63351,JASPER,Joshuaview,Female,Yes,Employed,2022-10-23
0000000090,000090,Court appointed guardian,Butler,Rodney,Nathan,,1996-01-24,65449,OZARK,Freemanbury,Male,Yes,Employed,2022-12-20
0000000090,000090,Stepmother,Allen,Patricia,Judy,,1978-08-26,65449,OZARK,Freemanbury,Female,No,Employed,2025-07-14
0000000091,000091,Father,Mcguire,David,Robert,,2000-07-06,65030,PHELPS,West Jeffreybury,Male,No,Employed,2022-12-02
0000000091,000091,Foster father,Jones,Thomas,Christopher,,1976-08-20,65030,PHELPS,West Jeffreybury,Male,Yes,Employed,2022-10-23
0000000092,000092,Aunt,Pierce,Sabrina,,,1981-03-12,63992,NODAWAY,Barajasside,Female,No,Part-time,2023-06-12
0000000093,000093,Foster Parent,Miller,Kevin,Mark,,1988-11-04,64544,ST. LOUIS CITY,Lake Jamesville,Male,Yes,Employed,2022-10-12
0000000093,000093,Uncle,Castillo,Christopher,Christopher,,1998-09-18,64544,ST. LOUIS CITY,Lake Jamesville,Male,No,Employed,2025-09-11
0000000094,000094,Grandmother,Hodges,Lisa,Kristine,,2007-11-08,63403,ANDREW,Hillshire,Female,Yes,Employed,2022-10-17
0000000094,000094,Court appointed guardian,Sanders,Christopher,Richard,,1979-11-03,63403,ANDREW,Hillshire,Male,No,Employed,2025-07-10
0000000095,000095,Foster father,Brown,Travis,Justin,,1972-06-11,65853,LINCOLN,West Jeremy,Male,No,Employed,2022-04-11
0000000096,000096,Adoptive parent,Adams,Jose,,,1986-10-15,64592,LAWRENCE,New Kellyberg,Male,No,Employed,2021-06-13
0000000096,000096,Foster mother,Davis,Deborah,,,1991-10-30,64592,LAWRENCE,New Kellyberg,Female,No,Not in Labor Force,2021-07-26
0000000097,000097,Grandmother,Elliott,Betty,Briana,,1982-04-24,65417,PERRY,Taylormouth,Female,No,Employed,2025-08-08
0000000097,000097,Foster mother,Peterson,Connie,Melissa,,1997-01-10,65417,PERRY,Taylormouth,Female,Yes,Employed,2022-03-01
0000000098,000098,Stepfather,Hensley,Todd,Seth,,1984-05-30,64572,CLINTON,Port Cameronfort,Male,Yes,Employed,2022-05-24
0000000098,000098,Aunt,Jones,Candace,Diane,,1975-02-16,64572,CLINTON,Port Cameronfort,Female,Yes,Employed,2023-04-30
0000000099,000099,Mother,Hernandez,Carol,Denise,,1989-07-30,63170,MONTGOMERY,Christopherbury,Female,No,Unemployed,2021-11-10
0000000099,000099,Court appointed guardian,Baker,James,David,,1985-08-24,63170,MONTGOMERY,Christopherbury,Male,No,Employed,2021-07-01
0000000100,000100,Stepmother,Gibbs,Linda,Kelly,,1977-05-02,64151,MONROE,Port Alexandra,Female,Yes,Employed,2021-11-15
0000000100,000100,Grandmother,Bailey,Cassie,Janet,,1993-01-29,64151,MONROE,Port Alexandra,Female,No,Employed,2025-04-23
0000000101,000101,Grandfather,Williams,Matthew,Michael,,1974-01-18,64851,JASPER,Ashleyton,Male,Yes,Employed,2025-12-05
0000000101,000101,Stepmother,Branch,Andrea,,,1973-05-22,64851,JASPER,Ashleyton,Female,No,Employed,2025-07-30
0000000102,000102,Foster father,Harris,James,Willie,Jr.,2001-08-18,64383,GASCONADE,West Donna,Male,No,Employed,2025-03-04
0000000102,000102,Stepmother,Clark,Crystal,Kathy,,1984-05-10,64383,GASCONADE,West Donna,Female,Yes,Part-time,2022-07-25
0000000103,000103,Adoptive parent,Turner,Joseph,,,1986-02-07,63677,POLK,South Shannonfort,Male,Yes,Employed,2025-03-06
0000000104,000104,Mother,Mann,Jessica,Mary,,1995-11-18,63561,GREENE,Jonesbury,Female,Yes,Employed,2024-04-22
0000000104,000104,Father,Mann,Thomas,Brandon,,1988-01-24,63561,GREENE,Jonesbury,Male,Yes,Part-time,2023-12-03
0000000105,000105,Stepmother,Guerrero,Amber,Brooke,,2004-09-05,64014,CARTER,South Danny,Female,Yes,Employed,2021-04-24
0000000106,000106,Stepmother,Thomas,Cynthia,,,1985-12-11,65328,WASHINGTON,East Laurashire,Female,Yes,Employed,2024-10-12
0000000106,000106,Grandmother,Ayers,Miranda,Jennifer,,1999-11-30,65328,WASHINGTON,East Laurashire,Female,No,Employed,2023-06-07
0000000107,000107,Aunt,Finley,Sarah,Gloria,,1984-07-01,65598,OSAGE,Hollyview,Female,No,Not in Labor Force,2022-12-10
0000000107,000107,Court appointed guardian,Brown,Edwin,Luis,,1979-08-31,65598,OSAGE,Hollyview,Male,Yes,Unemployed,2025-12-20
0000000108,000108,Aunt,Valencia,Ashley,Erin,,1979-08-30,64100,CARROLL,Navarroview,Female,No,Employed,2022-12-12
0000000108,000108,Foster Parent,Winters,Patrick,Brian,,1975-06-20,64100,CARROLL,Navarroview,Male,No,Employed,2024-04-11
0000000109,000109,Father,Craig,Kenneth,Jacob,,1979-02-02,64568,IRON,Port Emilyview,Male,Yes,Part-time,2021-05-27
0000000110,000110,Foster mother,Lee,Lisa,Nicole,,1979-08-21,63821,JACKSON,Moonburgh,Female,Yes,Employed,2024-06-02
0000000111,000111,Court appointed guardian,Shelton,Shawn,Daniel,,2007-07-11,64719,DAVIESS,Baileymouth,Male,Yes,Part-time,2022-09-17
0000000111,000111,Adoptive parent,Francis,Matthew,Ethan,,1971-03-29,64719,DAVIESS,Baileymouth,Male,No,Not in Labor Force,2021-04-08
0000000112,000112,Grandfather,Taylor,James,Alan,,2000-05-22,64336,REYNOLDS,Robertsfurt,Male,No,Employed,2021-03-23
0000000112,000112,Aunt,Love,Jessica,,,1982-04-23,64336,REYNOLDS,Robertsfurt,Female,Yes,Employed,2026-02-25
0000000113,000113,Foster Parent,Phillips,Paul,,,2001-02-14,64342,WARREN,Darrellfurt,Male,No,Employed,2023-07-18
0000000114,000114,Foster Parent,Cantu,Christopher,,,2004-07-11,65400,OREGON,Gutierrezborough,Male,No,Employed,2023-04-04
0000000114,000114,Grandmother,Navarro,Donna,Victoria,,1979-11-05,65400,OREGON,Gutierrezborough,Female,Yes,Part-time,2021-11-01
0000000115,000115,Foster mother,Riley,Melissa,Sara,,1979-08-18,65536,PERRY,East Josephberg,Female,No,Part-time,2022-01-10
