Child DCN,Child MOSIS ID,LastName,FirstName,MiddleName,GenerationCode,BirthDate,PostalCode,AddressCountyName,City,ResponsibleOrganizationIdentifier,RefSex.Description,RefRace.Description,HispanicLatinoEthnicity,FosterCareStartDate,FosterCareEndDate,ChildAbuseNeglect,RefLanguage.Description,HomelessnessStatus,MigrantStatus,RefParentMaritalStatus.Description,FamilyMemberIncarcerated,FamilyMemberSubstanceUseAbuse,LossOfParent,PercentOfFederalPovertyLevel,FamilyIncome,NumberOfPeopleInFamily,HouseholdMemberDepressedOrMentallyIll,WeightAtBirth,WeeksOfGestation,num_participation_episodes,total_attendance_days,num_enrollment_gaps,max_gap_days,has_gap_over_6mo,avg_attendance_days,num_screenings_completed,screening_completion_rate,num_immunizations,immunization_compliance_rate,missed_screening,has_disability,has_outcomes_data,avg_cos_rating,low_outcomes,homelessness_flag,migrant_flag,abuse_flag,incarcerated_flag,substance_flag,depression_flag,loss_parent_flag,in_foster_care,deep_poverty,num_household_stressors,stability_score,engagement_score,developmental_score,context_score,composite_risk_score,risk_tier,programs_enrolled,total_enrollments
14,14,James,Robert,Bryan,,2021-11-28,63158,WAYNE,Riceside,112880,Not selected,White,No,,,False,English,False,False,Single,True,False,False,108,27304,7,False,4227,41,2,120,0,0,False,60.0,3,0.5,19,1.0,True,False,True,3.5,True,False,False,False,True,False,False,False,True,False,1,0,57.5,35,25,28.125,Moderate,"Home Visiting, Child Care",2
15,15,Maldonado,Adam,Nathan,,2018-02-09,64284,SCOTLAND,Kaylamouth,94447,Male,Black or African American,No,,,False,English,False,False,Married,False,True,False,215,47908,5,False,2643,42,1,102,0,0,False,102.0,6,1.0,21,1.0,False,False,True,4.5,False,False,False,False,False,True,False,False,True,False,1,0,0.0,0,25,5.0,Low,Child Care,1
16,16,Mckay,Jeffrey,Jesse,,2020-11-28,65855,KNOX,Teresaburgh,52303,Male,White,No,,,False,English,False,False,Married,False,False,True,95,5702,5,False,3404,40,1,7,0,0,False,7.0,2,0.3333333333333333,10,0.8333333333333334,True,False,True,3.25,True,False,False,False,False,False,False,True,True,True,1,20,67.5,35,50,41.625,High,Early Intervention,1
17,17,Garrett,Daniel,,,2021-12-06,63962,STONE,East Nathaniel,105689,Not selected,White,No,,,True,English,False,False,Separated,False,True,False,171,40030,3,False,3843,42,1,11,0,0,False,11.0,3,0.5,17,1.0,True,False,True,2.75,True,False,False,True,False,True,False,False,True,False,1,20,57.5,35,40,37.125,High,Home Visiting,1
18,18,Sellers,Troy,Thomas,,2018-07-08,63497,VERNON,Tracyville,109468,Male,White,No,,,False,English,False,False,Single,False,False,False,231,94496,5,False,3030,38,1,161,0,0,False,161.0,6,1.0,21,1.0,False,False,True,5.5,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,Early Head Start,1
19,19,Parker,Natasha,Marie,,2020-09-16,64309,HICKORY,East Natalieland,43915,Not selected,White,No,,,False,English,False,False,Divorced,True,False,False,90,7010,6,False,3279,40,1,5,0,0,False,5.0,5,0.8333333333333334,18,1.0,False,False,True,4.0,False,False,False,False,True,False,False,False,True,True,1,20,45.83333333333333,0,50,27.458333333333332,Moderate,Early Intervention,1
20,20,Hodges,Katelyn,Andrea,,2020-05-25,65470,STE. GENEVIEVE,East Donna,103920,Female,White,No,,,False,English,False,False,Single,False,False,False,236,88835,6,False,3655,42,1,113,0,0,False,113.0,6,1.0,22,1.0,False,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,Childcare Subsidy,1
21,21,Rose,Carmen,,,2021-03-28,64552,HOLT,Brandtside,44285,Female,White,No,,,False,English,False,False,Separated,False,False,False,154,94088,3,False,4218,37,5,416,0,0,False,83.2,6,1.0,20,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,"Early Head Start, Head Start, Childcare Subsidy, Early Intervention",5
22,22,Marquez,Hannah,,,2019-03-16,65481,CHRISTIAN,Carneystad,22622,Not selected,White,No,,,False,English,False,False,Separated,False,False,False,129,23542,2,False,3927,39,2,238,0,0,False,119.0,4,0.6666666666666666,19,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,0,20,6.916666666666667,Low,"Childcare Subsidy, Child Care",2
23,23,Walker,Joseph,Bryan,,2018-10-26,63051,HOLT,Andrewside,44870,Male,White,No,,,False,English,False,False,Single,True,True,False,58,23177,5,False,4191,42,2,112,0,0,False,56.0,4,0.6666666666666666,14,1.0,False,True,True,3.125,True,False,False,False,True,True,False,False,True,True,2,0,51.66666666666667,75,55,42.66666666666667,High,"Child Care, Early Head Start",2
24,24,Welch,Daniel,Benjamin,,2020-04-27,64552,PUTNAM,North Rebecca,86345,Male,White,No,,,False,English,True,False,Single,False,False,False,116,31152,5,False,3637,38,5,379,1,216,True,75.8,4,0.6666666666666666,17,1.0,False,False,True,1.75,True,True,False,False,False,False,False,False,True,False,0,55,51.66666666666667,35,45,47.16666666666667,High,"First Steps, Home Visiting, Childcare Subsidy, Child Care",5
25,25,Young,Benjamin,,,2021-08-26,64511,OREGON,Lewisberg,75485,Male,White,No,,,False,English,False,False,Separated,False,False,False,140,43031,3,False,2943,42,1,18,0,0,False,18.0,3,0.5,20,1.0,True,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,20,57.5,0,20,24.375,Moderate,First Steps,1
26,26,Sanchez,Stephen,Kenneth,,2020-02-27,64123,CARROLL,Aguirreborough,17047,Male,White,No,,,False,English,False,False,Single,False,False,False,175,23361,2,False,4183,29,2,265,0,0,False,132.5,4,0.6666666666666666,15,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,35,20,15.666666666666668,Low,"Childcare Subsidy, Early Head Start",2
27,27,Gomez,Donna,,,2018-10-21,63485,DEKALB,Owenston,32572,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,183,32464,3,False,3781,38,2,242,0,0,False,121.0,3,0.5,20,1.0,True,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,0,17.5,0,20,8.375,Low,"Childcare Subsidy, Child Care",2
28,28,Powell,William,Brett,,2018-03-08,64192,MACON,Laurenville,61034,Male,White,No,,,False,English,False,False,Separated,False,False,False,325,60297,4,False,4192,38,1,185,0,0,False,185.0,4,0.6666666666666666,20,1.0,False,False,True,5.25,False,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,0,20,6.916666666666667,Low,Childcare Subsidy,1
29,29,Henderson,James,Shane,,2019-05-20,64648,REYNOLDS,Stevenland,90966,Not selected,Black or African American,No,,,False,English,False,False,Divorced,False,False,False,377,73313,7,True,4182,39,2,56,0,0,False,28.0,5,0.8333333333333334,22,1.0,False,False,True,4.25,False,False,False,False,False,False,True,False,True,False,1,20,45.83333333333333,0,25,22.458333333333332,Low,"Home Visiting, Early Intervention",2
30,30,Williams,Michelle,Andrea,,2019-08-17,65014,STONE,North Sarabury,105993,Not selected,Race and Ethnicity Unknown,No,,,False,English,False,False,Married,False,False,False,91,30807,4,False,2737,34,3,282,0,0,False,94.0,5,0.8333333333333334,19,1.0,False,False,True,3.6666666666666665,True,False,False,False,False,False,False,False,True,True,0,0,5.833333333333332,35,45,19.208333333333332,Low,"Home Visiting, Early Head Start, State Pre-K",3
31,31,Morales,Todd,Jason,,2018-11-28,65561,MARION,East Nicholasfurt,64453,Not selected,White,No,,,False,English,False,False,Single,False,True,False,56,22880,2,False,2960,37,3,119,0,0,False,39.666666666666664,2,0.3333333333333333,15,1.0,True,True,True,3.0,True,False,False,False,False,True,False,False,True,True,1,0,63.333333333333336,75,50,44.583333333333336,High,"Home Visiting, Early Head Start, First Steps",3
32,32,Henderson,Richard,Jesse,,2018-11-27,64976,TANEY,Mooreport,107484,Male,White,No,,,False,English,False,False,Divorced,False,False,False,180,44454,4,False,3986,39,1,91,0,0,False,91.0,5,0.8333333333333334,19,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,20,5.833333333333332,0,20,11.458333333333332,Low,Early Head Start,1
33,33,Brown,Brian,Jill,,2021-03-15,63772,HENRY,Brianshire,42715,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,40,24402,3,False,3528,41,1,38,0,0,False,38.0,2,0.3333333333333333,13,1.0,True,False,True,2.75,True,False,False,False,False,False,False,False,True,True,0,20,63.333333333333336,35,45,39.583333333333336,High,Early Intervention,1
34,34,Brown,Samantha,Amanda,,2018-08-04,63306,CEDAR,Port Jacobland,20481,Not selected,Black or African American,No,,,False,English,False,False,Divorced,False,False,False,170,66532,6,False,2640,38,3,269,1,178,False,89.66666666666667,6,1.0,21,1.0,False,False,True,5.5,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,Child Care,3
35,35,Zamora,David,Bryan,,2020-04-24,63681,LINCOLN,New Brooke,57711,Male,White,No,2024-08-07,2025-05-10,True,English,False,False,Single,False,False,False,141,32282,6,False,2793,38,1,115,0,0,False,115.0,5,0.8333333333333334,17,1.0,False,False,True,3.5,True,False,False,True,False,False,False,False,True,False,0,0,5.833333333333332,35,35,17.208333333333332,Low,Child Care,1
36,36,Silva,Robert,,,2020-08-09,63302,CHARITON,Sarahborough,21453,Not selected,White,No,,,False,English,False,False,Married,False,False,False,114,34969,2,False,4199,42,2,164,1,73,False,82.0,6,1.0,18,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,15,0.0,0,20,8.5,Low,"Early Head Start, First Steps",2
37,37,Anderson,Leon,Joseph,Jr.,2018-10-28,63942,GASCONADE,Stephenland,37622,Not selected,White,No,,,False,English,False,False,Divorced,False,False,False,343,92246,6,False,3247,30,2,349,0,0,False,174.5,6,1.0,21,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,"Early Head Start, Child Care",2
38,38,Hart,Lisa,,,2020-06-24,65055,MONITEAU,North Amandahaven,68936,Female,White,No,,,False,English,False,False,Single,False,False,False,397,97854,6,False,3249,37,1,195,0,0,False,195.0,6,1.0,22,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,Early Head Start,1
39,39,Suarez,Timothy,Stanley,,2018-05-18,65615,SULLIVAN,Justinmouth,106963,Male,White,No,,,False,English,False,False,Separated,False,False,False,193,30748,2,True,4437,37,1,45,0,0,False,45.0,5,0.8333333333333334,16,1.0,False,False,True,4.5,False,False,False,False,False,False,True,False,True,False,1,20,45.83333333333333,0,25,22.458333333333332,Low,First Steps,1
40,40,Archer,Michael,Logan,,2021-02-04,65852,SHANNON,Lake Lisaport,96969,Male,White,No,,,False,English,False,False,Separated,False,False,False,317,51489,4,False,2703,42,1,41,0,0,False,41.0,6,1.0,20,1.0,False,False,True,6.25,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,First Steps,1
41,41,Humphrey,Ashley,,,2020-01-13,63868,PULASKI,Darrellville,85658,Female,White,No,,,False,English,False,False,Separated,False,False,False,182,96575,6,False,2505,39,3,354,0,0,False,118.0,6,1.0,19,1.0,False,False,True,4.5,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,"Childcare Subsidy, Child Care, First Steps",3
42,42,Clark,Brittney,Diane,,2019-03-18,63974,HOWELL,Jamesview,46603,Female,White,No,,,False,English,False,False,Divorced,False,False,False,67,3724,7,False,2474,41,3,157,0,0,False,52.333333333333336,3,0.5,12,1.0,True,True,True,2.6666666666666665,True,False,False,False,False,False,False,False,True,True,0,0,57.5,75,45,42.125,High,"Home Visiting, Early Head Start",3
43,43,Williams,Danielle,Susan,,2018-01-16,64319,BUCHANAN,Calderonton,11623,Female,White,No,,,False,English,False,False,Separated,False,False,False,332,66311,5,False,3424,38,4,202,0,0,False,50.5,5,0.8333333333333334,20,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,15,45.83333333333333,35,20,28.708333333333332,Moderate,"Early Intervention, Childcare Subsidy, Home Visiting, Child Care",4
44,44,Walsh,Kellie,,,2021-07-14,65813,CEDAR,Evanmouth,20946,Not selected,White,No,,,False,English,False,False,Single,False,True,False,145,46600,7,False,2605,39,3,306,0,0,False,102.0,5,0.8333333333333334,18,1.0,False,False,True,3.5,True,False,False,False,False,True,False,False,True,False,1,0,5.833333333333332,35,25,15.208333333333332,Low,"Home Visiting, Childcare Subsidy, Child Care",3
45,45,Jones,Ronald,Alec,,2020-02-19,65278,VERNON,New Barry,109377,Not selected,White,No,,,False,English,False,False,Separated,False,False,True,193,45147,4,False,3939,39,2,244,1,108,False,122.0,6,1.0,18,1.0,False,True,True,4.5,False,False,False,False,False,False,False,True,True,False,1,15,0.0,40,25,19.5,Low,Childcare Subsidy,2
46,46,Williams,Juan,Jeffrey,,2020-01-06,63375,AUDRAIN,Rachelton,4765,Male,Black or African American,No,,,True,English,False,False,Divorced,False,False,False,39,23645,4,False,3407,42,1,14,0,0,False,14.0,4,0.6666666666666666,14,1.0,False,False,True,2.0,True,False,False,True,False,False,False,False,True,True,0,20,51.66666666666667,35,60,39.66666666666667,High,First Steps,1
47,47,Garcia,Daniel,David,,2021-07-09,65429,RALLS,Dicksonberg,87499,Male,White,No,,,False,English,False,False,Single,False,False,False,64,20251,3,False,2764,40,3,248,2,84,False,82.66666666666667,4,0.6666666666666666,16,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,True,0,30,11.666666666666668,0,45,20.916666666666668,Low,"Childcare Subsidy, Home Visiting",3
48,48,Marsh,Joel,Francisco,,2019-09-18,64883,ATCHISON,South Angel,3944,Not selected,White,No,,,False,English,False,False,Divorced,False,True,False,156,29486,5,False,4229,37,1,8,0,0,False,8.0,6,1.0,18,1.0,False,True,True,3.25,True,False,False,False,False,True,False,False,True,False,1,20,40.0,75,25,39.75,High,Home Visiting,1
49,49,Pham,Evelyn,Tara,,2021-09-03,65090,BOONE,West Erik,10649,Female,White,No,,,False,English,False,False,Divorced,False,False,False,336,98670,3,False,4448,42,1,14,0,0,False,14.0,6,1.0,21,1.0,False,False,True,5.5,False,False,False,False,False,False,False,False,True,False,0,20,40.0,0,20,20.0,Low,Home Visiting,1
50,50,Ruiz,Patrick,Benjamin,,2021-11-19,64801,CEDAR,Port Samantha,20070,Not selected,White,No,,,False,Spanish,False,False,Single,True,False,False,140,36624,5,True,3688,41,5,450,0,0,False,90.0,5,0.8333333333333334,18,1.0,False,True,True,3.0,True,False,False,False,True,False,True,False,True,False,2,15,5.833333333333332,75,30,30.708333333333332,Moderate,"Childcare Subsidy, First Steps, Child Care, Head Start",5
51,51,Walker,Lori,Monica,,2018-08-26,64845,BENTON,South Mark,8106,Not selected,White,No,,,True,English,False,False,Single,True,False,False,82,5654,5,False,4086,39,1,43,0,0,False,43.0,4,0.6666666666666666,16,1.0,False,False,True,2.75,True,False,False,True,True,False,False,False,True,True,1,20,51.66666666666667,35,65,40.66666666666667,High,Early Head Start,1
52,52,Ramirez,Tracy,,,2018-11-21,65689,SCHUYLER,Frazierside,93988,Female,White,No,,,False,English,False,False,Married,False,False,False,86,31462,3,False,3872,36,2,206,0,0,False,103.0,3,0.5,14,1.0,True,False,True,3.875,True,False,False,False,False,False,False,False,True,True,0,0,17.5,35,45,22.125,Low,"Early Intervention, Childcare Subsidy",2
53,53,Green,Alexander,Shawn,,2021-09-12,63786,MARIES,Benjaminchester,63232,Male,White,No,,,False,English,False,False,Separated,False,False,False,279,95520,3,False,2870,42,3,408,0,0,False,136.0,5,0.8333333333333334,21,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,35,20,14.208333333333332,Low,"Childcare Subsidy, Child Care, Early Head Start",3
54,54,Joyce,Richard,Jeffrey,,2019-12-15,64838,GASCONADE,South Rachelborough,37240,Male,White,No,,,False,English,False,False,Separated,False,False,False,99,32053,3,False,4140,41,1,10,0,0,False,10.0,5,0.8333333333333334,17,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,True,0,20,45.83333333333333,0,45,26.458333333333332,Moderate,First Steps,1
55,55,Frost,Michelle,April,,2020-01-21,63510,VERNON,West Ryan,109292,Female,Black or African American,No,,,False,English,False,False,Married,False,False,False,362,73670,3,False,3290,37,2,128,0,0,False,64.0,6,1.0,20,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"Childcare Subsidy, Early Intervention",2
56,56,Alvarado,Samantha,Cindy,,2018-06-04,64935,TANEY,Lake Rachelhaven,107713,Not selected,Black or African American,No,,,False,English,False,False,Separated,True,False,False,381,50192,4,False,2749,37,1,9,0,0,False,9.0,6,1.0,22,1.0,False,True,True,6.0,False,False,False,False,True,False,False,False,True,False,1,20,40.0,40,25,31.0,Moderate,Home Visiting,1
57,57,Phillips,Jennifer,Jennifer,,2021-02-04,64193,CASS,East Robert,19440,Female,White,No,,,False,English,True,False,Single,False,False,False,321,50610,2,False,3801,40,2,225,1,33,False,112.5,4,0.6666666666666666,18,1.0,False,False,True,5.0,False,True,False,False,False,False,False,False,True,False,0,15,11.666666666666668,0,45,16.416666666666668,Low,"Early Head Start, Childcare Subsidy",2
58,58,Gilbert,Megan,Stephanie,,2020-12-01,65383,ST. CLAIR,Richardtown,99753,Female,White,No,,,False,English,False,False,Single,False,False,False,82,5737,2,False,3100,31,4,85,0,0,False,21.25,3,0.5,12,1.0,True,False,True,4.0,False,False,False,False,False,False,False,False,True,True,0,35,57.5,0,45,33.875,Moderate,"Early Intervention, Home Visiting",4
59,59,Lawson,Christine,Rachel,Jr.,2019-01-11,63782,PLATTE,Stevenmouth,83293,Female,White,Yes,,,False,English,False,False,Single,False,False,False,181,97385,4,False,4392,41,3,376,0,0,False,125.33333333333333,4,0.6666666666666666,21,1.0,False,False,True,4.0,False,False,False,False,False,False,False,False,True,False,0,0,11.666666666666668,0,20,6.916666666666667,Low,"Early Head Start, Childcare Subsidy, Early Intervention",3
60,60,Moyer,Jorge,Riley,,2018-12-14,64343,BUCHANAN,Lake Christopher,11677,Male,White,No,,,False,English,False,False,Divorced,False,False,False,263,68038,2,False,3874,42,1,205,0,0,False,205.0,5,0.8333333333333334,21,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,False,0,0,5.833333333333332,0,20,5.458333333333333,Low,Early Head Start,1
61,61,Cardenas,Cynthia,Matthew,,2019-01-05,64500,PLATTE,Lake Lance,83371,Not selected,Black or African American,No,,,False,Spanish,False,False,Separated,False,True,False,144,32190,5,False,3560,40,3,281,1,57,False,93.66666666666667,3,0.5,18,1.0,True,False,True,3.5,True,False,False,False,False,True,False,False,True,False,1,15,17.5,35,25,22.625,Low,"Childcare Subsidy, Child Care",3
62,62,Riggs,Brittany,Amber,,2018-05-25,63819,MARIES,South Robertshire,63126,Female,White,No,2020-02-29,2022-01-12,False,English,True,False,Separated,False,False,False,11,22345,4,False,3541,38,1,42,0,0,False,42.0,3,0.5,14,1.0,True,False,True,1.75,True,True,False,False,False,False,False,False,True,True,0,20,57.5,35,70,43.125,High,Early Intervention,1
63,63,Snyder,Melissa,,,2019-03-08,63531,MORGAN,East Diana,71627,Female,White,No,,,False,English,False,False,Married,False,False,False,272,79451,3,False,4298,41,3,286,0,0,False,95.33333333333333,6,1.0,20,1.0,False,False,True,5.083333333333333,False,False,False,False,False,False,False,False,True,False,0,0,0.0,0,20,4.0,Low,"Childcare Subsidy, Child Care",3
64,64,Rodriguez,Karen,Kayla,,2019-03-14,63663,CHRISTIAN,Robinsonhaven,22331,Not selected,Black or African American,No,,,False,English,False,False,Separated,True,False,False,122,47719,6,False,4428,41,2,109,0,0,False,54.5,5,0.8333333333333334,20,1.0,False,False,True,4.25,False,False,False,False,True,False,False,False,True,False,1,0,45.83333333333333,0,25,16.458333333333332,Low,"Childcare Subsidy, Early Head Start",2
65,65,Lowery,Justin,,III,2020-10-02,65343,ST. CLAIR,South Dennismouth,99427,Male,White,No,,,False,English,False,False,Single,False,False,False,314,64798,5,False,2917,33,1,12,0,0,False,12.0,5,0.8333333333333334,20,1.0,False,False,True,3.75,True,False,False,False,False,False,False,False,True,False,0,20,45.83333333333333,35,20,30.208333333333332,Moderate,Home Visiting,1
66,66,Dodson,Vanessa,Caitlin,,2020-12-11,65300,MILLER,Salazarhaven,66109,Not selected,White,No,,,False,English,False,False,Married,False,False,False,74,21658,3,False,4062,38,2,171,0,0,False,85.5,5,0.8333333333333334,19,1.0,False,False,True,4.75,False,False,False,False,False,False,False,False,True,True,0,0,5.833333333333332,0,45,10.458333333333332,Low,"First Steps, Early Head Start",2
67,67,Griffin,Susan,,Jr.,2021-08-10,64445,OREGON,Lake Michelle,75050,Female,White,No,,,False,English,False,False,Single,False,False,False,170,29363,2,False,3667,41,2,316,0,0,False,158.0,3,0.5,17,1.0,True,False,True,5.0,False,False,False,False,False,False,False,False,True,False,0,0,17.5,0,20,8.375,Low,"Childcare Subsidy, Child Care",2
68,68,Ramirez,Karen,Mary,,2020-02-13,63486,PERRY,Simsview,79132,Not selected,White,No,,,False,English,False,False,Single,False,False,False,390,68960,6,False,2267,38,2,143,0,0,False,71.5,6,1.0,22,1.0,False,False,True,4.25,False,False,False,False,False,False,False,False,True,False,0,0,40.0,0,20,14.0,Low,"Childcare Subsidy, Head Start",2
69,69,Young,Michelle,,Sr.,2019-06-20,65087,MERCER,Luisside,65546,Female,White,No,,,True,English,False,False,Married,False,False,False,134,42079,7,False,4103,41,3,217,0,0,False,72.33333333333333,5,0.8333333333333334,20,1.0,False,False,True,3.375,True,False,False,True,False,False,False,False,True,False,0,0,45.83333333333333,35,35,27.208333333333332,Moderate,"First Steps, Childcare Subsidy, Child Care",3
