CollectionVersion,CurrentSchoolYear,AttendingDistrictCode,AttendingSchoolCode,ReportingDistrictCode,ReportingSchoolCode,ResidentDistrictCode,ResidentSchoolCode,StateID,LocalStudentID,LastName,FirstName,MiddleName,Suffix,DateOfBirth,StudentGradeLevel,ResidencyStatus,RegHrsAttended,RegHrsAbsent,RemHrsAttended,HrsInSession,SummerAttendance,SummerMembership,EntryDate,EntryCode,ExitDate,ExitCode,ExitDestDistrictCode,ExitDestSchoolCode,ExitDestComment,SchoolChoice,ExtSchlHours
2026Aug1.0StuEnrlAttnd,2025,105779,7065,105779,7065,105779,7065,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,PK,R,1034,136,0,1170,0,0,2024-08-15,E100,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,105779,2169,105779,2169,105779,2169,0000000006,L0000000006,Ray,Luke,Scott,,2020-05-08,K,R,1027,143,0,1170,0,0,2025-08-26,R101,2026-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,001725,3677,001725,3677,001725,3677,0000000007,L0000000007,Delacruz,Scott,,,2021-02-08,PK,R,1004,166,0,1170,0,0,2024-08-22,E100,2025-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,001725,4598,001725,4598,001725,4598,0000000007,L0000000007,Delacruz,Scott,,,2021-02-08,PK,R,998,172,0,1170,0,0,2025-08-23,E100,2026-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,013413,1916,013413,1916,013413,1916,0000000008,L0000000008,Miles,Heather,Meagan,,2021-06-14,PK,R,1034,136,0,1170,0,0,2024-08-27,E100,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,013413,5386,013413,5386,013413,5386,0000000008,L0000000008,Miles,Heather,Meagan,,2021-06-14,PK,R,1040,130,0,1170,0,0,2025-08-23,E100,2026-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,049400,6155,049400,6155,049400,6155,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,01,R,907,263,0,1170,0,0,2023-08-20,R101,2024-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,049400,5339,049400,5339,049400,5339,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,02,R,952,218,0,1170,0,0,2024-08-19,R101,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,049400,7543,049400,7543,049400,7543,0000000009,L0000000009,Mayo,Carla,Jamie,,2018-04-06,03,R,938,232,0,1170,0,0,2025-08-22,R101,2026-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,052965,3621,052965,3621,052965,3621,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,PK,R,1113,57,0,1170,0,0,2023-08-20,E100,2024-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,052965,2040,052965,2040,052965,2040,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,K,R,1143,27,0,1170,0,0,2024-08-27,R101,2025-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,052965,5119,052965,5119,052965,5119,0000000010,L0000000010,Trujillo,Anthony,Rodney,,2019-01-17,01,R,1095,75,0,1170,0,0,2025-08-19,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,032292,9797,032292,9797,032292,9797,0000000011,L0000000011,Lewis,Keith,Mitchell,,2018-02-18,02,R,1157,13,0,1170,0,0,2024-08-17,R101,2025-05-27,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,032292,6573,032292,6573,032292,6573,0000000011,L0000000011,Lewis,Keith,Mitchell,,2018-02-18,03,R,1162,8,0,1170,0,0,2025-08-23,R101,2026-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,109095,5315,109095,5315,109095,5315,0000000012,L0000000012,Ryan,Charles,Patrick,,2019-12-11,PK,R,1146,24,0,1170,0,0,2023-08-22,E100,2024-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,109095,9317,109095,9317,109095,9317,0000000012,L0000000012,Ryan,Charles,Patrick,,2019-12-11,K,R,1143,27,0,1170,0,0,2024-08-27,R101,2025-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,109095,9317,109095,9317,109095,9317,0000000012,L0000000012,Ryan,Charles,Patrick,,2019-12-11,01,R,1152,18,0,1170,0,0,2025-08-20,R101,2026-05-27,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,046699,9689,046699,9689,046699,9689,0000000013,L0000000013,Snyder,Zachary,Charles,,2019-07-05,PK,R,1170,0,0,1170,0,0,2023-08-28,E100,2024-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,046699,9005,046699,9005,046699,9005,0000000013,L0000000013,Snyder,Zachary,Charles,,2019-07-05,K,R,1146,24,0,1170,0,0,2024-08-15,R101,2025-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,046699,6038,046699,6038,046699,6038,0000000013,L0000000013,Snyder,Zachary,Charles,,2019-07-05,01,R,1149,21,0,1170,0,0,2025-08-18,R101,2026-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,112880,2290,112880,2290,112880,2290,0000000014,L0000000014,James,Robert,Bryan,,2021-11-28,PK,R,1112,58,0,1170,0,0,2024-08-27,E100,2025-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,112880,9727,112880,9727,112880,9727,0000000014,L0000000014,James,Robert,Bryan,,2021-11-28,PK,R,1151,19,0,1170,0,0,2025-08-23,E100,2026-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,094447,8787,094447,8787,094447,8787,0000000015,L0000000015,Maldonado,Adam,Nathan,,2018-02-09,01,R,1023,147,0,1170,0,0,2023-08-16,R101,2024-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,094447,7932,094447,7932,094447,7932,0000000015,L0000000015,Maldonado,Adam,Nathan,,2018-02-09,02,R,977,193,0,1170,0,0,2024-08-15,R101,2025-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,094447,4295,094447,4295,094447,4295,0000000015,L0000000015,Maldonado,Adam,Nathan,,2018-02-09,03,R,1018,152,0,1170,0,0,2025-08-29,R101,2026-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,052303,7118,052303,7118,052303,7118,0000000016,L0000000016,Mckay,Jeffrey,Jesse,,2020-11-28,PK,R,1096,74,0,1170,0,0,2023-08-28,E100,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,052303,4681,052303,4681,052303,4681,0000000016,L0000000016,Mckay,Jeffrey,Jesse,,2020-11-28,PK,R,1100,70,0,1170,0,0,2024-08-18,E100,2025-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,052303,4770,052303,4770,052303,4770,0000000016,L0000000016,Mckay,Jeffrey,Jesse,,2020-11-28,K,R,1109,61,0,1170,0,0,2025-08-17,R101,2026-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,105689,1964,105689,1964,105689,1964,0000000017,L0000000017,Garrett,Daniel,,,2021-12-06,K,R,1018,152,0,1170,0,0,2024-08-21,R101,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,109468,4899,109468,4899,109468,4899,0000000018,L0000000018,Sellers,Troy,Thomas,,2018-07-08,01,R,1168,2,0,1170,0,0,2023-08-16,R101,2024-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,109468,8744,109468,8744,109468,8744,0000000018,L0000000018,Sellers,Troy,Thomas,,2018-07-08,02,R,1143,27,0,1170,0,0,2024-08-26,R101,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,109468,7669,109468,7669,109468,7669,0000000018,L0000000018,Sellers,Troy,Thomas,,2018-07-08,03,R,1160,10,0,1170,0,0,2025-08-30,R101,2026-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,043915,7939,043915,7939,043915,7939,0000000019,L0000000019,Parker,Natasha,Marie,,2020-09-16,PK,R,1076,94,0,1170,0,0,2023-08-16,E100,2024-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,043915,2612,043915,2612,043915,2612,0000000019,L0000000019,Parker,Natasha,Marie,,2020-09-16,PK,R,1068,102,0,1170,0,0,2024-08-22,E100,2025-05-27,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,043915,2790,043915,2790,043915,2790,0000000019,L0000000019,Parker,Natasha,Marie,,2020-09-16,K,R,1050,120,0,1170,0,0,2025-08-26,R101,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,103920,7912,103920,7912,103920,7912,0000000020,L0000000020,Hodges,Katelyn,Andrea,,2020-05-25,PK,R,1027,143,0,1170,0,0,2023-08-26,E100,2024-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,103920,2235,103920,2235,103920,2235,0000000020,L0000000020,Hodges,Katelyn,Andrea,,2020-05-25,PK,R,1002,168,0,1170,0,0,2024-08-30,E100,2025-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,103920,2604,103920,2604,103920,2604,0000000020,L0000000020,Hodges,Katelyn,Andrea,,2020-05-25,K,R,1013,157,0,1170,0,0,2025-08-18,R101,2026-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,044285,2528,044285,2528,044285,2528,0000000021,L0000000021,Rose,Carmen,,,2021-03-28,PK,R,1117,53,0,1170,0,0,2024-08-22,E100,2025-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,022622,4502,022622,4502,022622,4502,0000000022,L0000000022,Marquez,Hannah,,,2019-03-16,K,R,1079,91,0,1170,0,0,2024-08-20,R101,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,022622,1035,022622,1035,022622,1035,0000000022,L0000000022,Marquez,Hannah,,,2019-03-16,01,R,1049,121,0,1170,0,0,2025-08-28,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,044870,8454,044870,8454,044870,8454,0000000023,L0000000023,Walker,Joseph,Bryan,,2018-10-26,01,R,893,277,0,1170,0,0,2023-08-23,R101,2024-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,044870,8973,044870,8973,044870,8973,0000000023,L0000000023,Walker,Joseph,Bryan,,2018-10-26,02,R,979,191,0,1170,0,0,2024-08-22,R101,2025-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,086345,6138,086345,6138,086345,6138,0000000024,L0000000024,Welch,Daniel,Benjamin,,2020-04-27,PK,R,1058,112,0,1170,0,0,2023-08-26,E100,2024-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,086345,9701,086345,9701,086345,9701,0000000024,L0000000024,Welch,Daniel,Benjamin,,2020-04-27,PK,R,1059,111,0,1170,0,0,2024-08-31,E100,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,086345,2312,086345,2312,086345,2312,0000000024,L0000000024,Welch,Daniel,Benjamin,,2020-04-27,K,R,1031,139,0,1170,0,0,2025-08-24,R101,2026-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,075485,4853,075485,4853,075485,4853,0000000025,L0000000025,Young,Benjamin,,,2021-08-26,PK,R,1145,25,0,1170,0,0,2024-08-28,E100,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,075485,1651,075485,1651,075485,1651,0000000025,L0000000025,Young,Benjamin,,,2021-08-26,PK,R,1141,29,0,1170,0,0,2025-08-24,E100,2026-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,017047,9565,017047,9565,017047,9565,0000000026,L0000000026,Sanchez,Stephen,Kenneth,,2020-02-27,PK,R,981,189,0,1170,0,0,2023-08-15,E100,2024-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,017047,6147,017047,6147,017047,6147,0000000026,L0000000026,Sanchez,Stephen,Kenneth,,2020-02-27,PK,R,973,197,0,1170,0,0,2024-08-24,E100,2025-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,017047,5915,017047,5915,017047,5915,0000000026,L0000000026,Sanchez,Stephen,Kenneth,,2020-02-27,K,R,948,222,0,1170,0,0,2025-08-22,R101,2026-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,032572,1152,032572,1152,032572,1152,0000000027,L0000000027,Gomez,Donna,,,2018-10-21,01,R,1125,45,0,1170,0,0,2023-08-27,R101,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,032572,2200,032572,2200,032572,2200,0000000027,L0000000027,Gomez,Donna,,,2018-10-21,02,R,1134,36,0,1170,0,0,2024-08-27,R101,2025-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,032572,3170,032572,3170,032572,3170,0000000027,L0000000027,Gomez,Donna,,,2018-10-21,03,R,1123,47,0,1170,0,0,2025-08-21,R101,2026-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,061034,7054,061034,7054,061034,7054,0000000028,L0000000028,Powell,William,Brett,,2018-03-08,01,R,1133,37,0,1170,0,0,2023-08-21,R101,2024-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,061034,5956,061034,5956,061034,5956,0000000028,L0000000028,Powell,William,Brett,,2018-03-08,02,R,1138,32,0,1170,0,0,2024-08-24,R101,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,061034,9666,061034,9666,061034,9666,0000000028,L0000000028,Powell,William,Brett,,2018-03-08,03,R,1136,34,0,1170,0,0,2025-08-31,R101,2026-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,090966,5333,090966,5333,090966,5333,0000000029,L0000000029,Henderson,James,Shane,,2019-05-20,K,R,1017,153,0,1170,0,0,2024-08-19,R101,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,090966,5462,090966,5462,090966,5462,0000000029,L0000000029,Henderson,James,Shane,,2019-05-20,01,R,1015,155,0,1170,0,0,2025-08-24,R101,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,105993,5325,105993,5325,105993,5325,0000000030,L0000000030,Williams,Michelle,Andrea,,2019-08-17,PK,R,1070,100,0,1170,0,0,2023-08-20,E100,2024-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,105993,1832,105993,1832,105993,1832,0000000030,L0000000030,Williams,Michelle,Andrea,,2019-08-17,K,R,1050,120,0,1170,0,0,2024-08-21,R101,2025-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,105993,1058,105993,1058,105993,1058,0000000030,L0000000030,Williams,Michelle,Andrea,,2019-08-17,01,R,1092,78,0,1170,0,0,2025-08-28,R101,2026-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,064453,3647,064453,3647,064453,3647,0000000031,L0000000031,Morales,Todd,Jason,,2018-11-28,01,R,1137,33,0,1170,0,0,2023-08-29,R101,2024-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,064453,1158,064453,1158,064453,1158,0000000031,L0000000031,Morales,Todd,Jason,,2018-11-28,02,R,1115,55,0,1170,0,0,2024-08-22,R101,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,064453,7049,064453,7049,064453,7049,0000000031,L0000000031,Morales,Todd,Jason,,2018-11-28,03,R,1162,8,0,1170,0,0,2025-08-30,R101,2026-05-20,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,107484,6050,107484,6050,107484,6050,0000000032,L0000000032,Henderson,Richard,Jesse,,2018-11-27,01,R,907,263,0,1170,0,0,2023-08-27,R101,2024-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,107484,1653,107484,1653,107484,1653,0000000032,L0000000032,Henderson,Richard,Jesse,,2018-11-27,02,R,917,253,0,1170,0,0,2024-08-28,R101,2025-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,107484,5088,107484,5088,107484,5088,0000000032,L0000000032,Henderson,Richard,Jesse,,2018-11-27,03,R,1017,153,0,1170,0,0,2025-08-21,R101,2026-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,042715,7658,042715,7658,042715,7658,0000000033,L0000000033,Brown,Brian,Jill,,2021-03-15,PK,R,1051,119,0,1170,0,0,2024-08-17,E100,2025-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,020481,4878,020481,4878,020481,4878,0000000034,L0000000034,Brown,Samantha,Amanda,,2018-08-04,01,R,1144,26,0,1170,0,0,2023-08-19,R101,2024-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,020481,7755,020481,7755,020481,7755,0000000034,L0000000034,Brown,Samantha,Amanda,,2018-08-04,02,R,1141,29,0,1170,0,0,2024-08-29,R101,2025-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,020481,6442,020481,6442,020481,6442,0000000034,L0000000034,Brown,Samantha,Amanda,,2018-08-04,03,R,1129,41,0,1170,0,0,2025-08-29,R101,2026-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,057711,5065,057711,5065,057711,5065,0000000035,L0000000035,Zamora,David,Bryan,,2020-04-24,PK,R,1149,21,0,1170,0,0,2023-08-27,E100,2024-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,057711,1634,057711,1634,057711,1634,0000000035,L0000000035,Zamora,David,Bryan,,2020-04-24,PK,R,1170,0,0,1170,0,0,2024-08-15,E100,2025-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,057711,8541,057711,8541,057711,8541,0000000035,L0000000035,Zamora,David,Bryan,,2020-04-24,K,R,1146,24,0,1170,0,0,2025-08-18,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,021453,4652,021453,4652,021453,4652,0000000036,L0000000036,Silva,Robert,,,2020-08-09,PK,R,888,282,0,1170,0,0,2023-08-15,E100,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,021453,2137,021453,2137,021453,2137,0000000036,L0000000036,Silva,Robert,,,2020-08-09,PK,R,921,249,0,1170,0,0,2024-08-27,E100,2025-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,021453,9346,021453,9346,021453,9346,0000000036,L0000000036,Silva,Robert,,,2020-08-09,K,R,957,213,0,1170,0,0,2025-08-21,R101,2026-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,037622,1452,037622,1452,037622,1452,0000000037,L0000000037,Anderson,Leon,Joseph,,2018-10-28,01,R,1170,0,0,1170,0,0,2023-08-20,R101,2024-05-27,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,037622,5349,037622,5349,037622,5349,0000000037,L0000000037,Anderson,Leon,Joseph,,2018-10-28,02,R,1170,0,0,1170,0,0,2024-08-17,R101,2025-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,037622,6663,037622,6663,037622,6663,0000000037,L0000000037,Anderson,Leon,Joseph,,2018-10-28,03,R,1157,13,0,1170,0,0,2025-08-27,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,068936,9379,068936,9379,068936,9379,0000000038,L0000000038,Hart,Lisa,,,2020-06-24,PK,R,1140,30,0,1170,0,0,2023-08-24,E100,2024-05-23,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,068936,1727,068936,1727,068936,1727,0000000038,L0000000038,Hart,Lisa,,,2020-06-24,PK,R,1155,15,0,1170,0,0,2024-08-28,E100,2025-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,068936,9821,068936,9821,068936,9821,0000000038,L0000000038,Hart,Lisa,,,2020-06-24,K,R,1170,0,0,1170,0,0,2025-08-30,R101,2026-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,106963,4228,106963,4228,106963,4228,0000000039,L0000000039,Suarez,Timothy,Stanley,,2018-05-18,01,R,1158,12,0,1170,0,0,2023-08-30,R101,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,106963,6409,106963,6409,106963,6409,0000000039,L0000000039,Suarez,Timothy,Stanley,,2018-05-18,02,R,1170,0,0,1170,0,0,2024-08-30,R101,2025-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,106963,3041,106963,3041,106963,3041,0000000039,L0000000039,Suarez,Timothy,Stanley,,2018-05-18,03,R,1170,0,0,1170,0,0,2025-08-20,R101,2026-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,096969,7691,096969,7691,096969,7691,0000000040,L0000000040,Archer,Michael,Logan,,2021-02-04,PK,R,1000,170,0,1170,0,0,2024-08-28,E100,2025-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,096969,4143,096969,4143,096969,4143,0000000040,L0000000040,Archer,Michael,Logan,,2021-02-04,PK,R,1002,168,0,1170,0,0,2025-08-17,E100,2026-05-31,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,085658,3851,085658,3851,085658,3851,0000000041,L0000000041,Humphrey,Ashley,,,2020-01-13,PK,R,1052,118,0,1170,0,0,2023-08-22,E100,2024-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,085658,1006,085658,1006,085658,1006,0000000041,L0000000041,Humphrey,Ashley,,,2020-01-13,PK,R,1072,98,0,1170,0,0,2024-08-19,E100,2025-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,085658,6279,085658,6279,085658,6279,0000000041,L0000000041,Humphrey,Ashley,,,2020-01-13,K,R,1061,109,0,1170,0,0,2025-08-15,R101,2026-05-22,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,046603,3780,046603,3780,046603,3780,0000000042,L0000000042,Clark,Brittney,Diane,,2019-03-18,PK,R,960,210,0,1170,0,0,2023-08-28,E100,2024-05-30,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,046603,6491,046603,6491,046603,6491,0000000042,L0000000042,Clark,Brittney,Diane,,2019-03-18,K,R,926,244,0,1170,0,0,2024-08-18,R101,2025-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,046603,6085,046603,6085,046603,6085,0000000042,L0000000042,Clark,Brittney,Diane,,2019-03-18,01,R,960,210,0,1170,0,0,2025-08-17,R101,2026-05-24,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,011623,8784,011623,8784,011623,8784,0000000043,L0000000043,Williams,Danielle,Susan,,2018-01-16,01,R,1087,83,0,1170,0,0,2023-08-24,R101,2024-05-29,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,011623,4185,011623,4185,011623,4185,0000000043,L0000000043,Williams,Danielle,Susan,,2018-01-16,02,R,1100,70,0,1170,0,0,2024-08-26,R101,2025-05-21,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,011623,7547,011623,7547,011623,7547,0000000043,L0000000043,Williams,Danielle,Susan,,2018-01-16,03,R,1106,64,0,1170,0,0,2025-08-29,R101,2026-05-25,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2025,020946,2746,020946,2746,020946,2746,0000000044,L0000000044,Walsh,Kellie,,,2021-07-14,PK,R,1148,22,0,1170,0,0,2024-08-18,E100,2025-05-26,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2026,020946,9486,020946,9486,020946,9486,0000000044,L0000000044,Walsh,Kellie,,,2021-07-14,PK,R,1122,48,0,1170,0,0,2025-08-21,E100,2026-05-28,R001,,,,N,0
2026Aug1.0StuEnrlAttnd,2024,109377,2988,109377,2988,109377,2988,0000000045,L0000000045,Jones,Ronald,Alec,,2020-02-19,PK,R,1020,150,0,1170,0,0,2023-08-25,E100,2024-05-31,R001,,,,N,0
