Child DCN,Child MOSIS ID,RefPersonRelationshipType.Description,RelatedPerson LastName,RelatedPerson FirstName,RelatedPerson MiddleName,RelatedPerson GenerationCode,RelatedPerson BirthDate,RelatedPerson PostalCode,RelatedPerson AddressCountyName,RelatedPerson City,RelatedPerson RefSex.Description,RelatedPerson HispanicLatinoEthnicity,RelatedPerson RefEmploymentStatus.Description,RelatedPerson EmploymentStatusDate,RelatedPerson HighestEducationLevel
0000000015,000015,Father,Maldonado,James,,,1983-03-26,64284,SCOTLAND,Kaylamouth,Male,No,Employed,2026-01-01,High school diploma or equivalent
0000000016,000016,Grandfather,Todd,Daniel,,,2005-11-21,65855,KNOX,Teresaburgh,Male,Yes,Employed,2025-06-15,No high school diploma
0000000017,000017,Grandmother,Robinson,Kendra,Dawn,,2003-01-13,63962,STONE,East Nathaniel,Female,No,Employed,2025-10-02,Bachelor's degree
0000000017,000017,Stepmother,Garrett,Karen,Jacqueline,,1972-12-20,63962,STONE,East Nathaniel,Female,No,Not in Labor Force,2022-08-18,"Some college, no degree"
0000000018,000018,Adoptive parent,Graham,Johnathan,,,1974-08-02,63497,VERNON,Tracyville,Male,Yes,Part-time,2023-07-13,High school diploma or equivalent
0000000018,000018,Aunt,Vaughn,Lori,Stephanie,,1987-05-23,63497,VERNON,Tracyville,Female,No,Part-time,2021-11-14,Bachelor's degree
0000000019,000019,Stepmother,Parker,Brenda,,,2006-12-19,64309,HICKORY,East Natalieland,Female,No,Employed,2025-09-26,Graduate or professional degree
0000000019,000019,Mother,Parker,Sarah,Amy,,1993-11-21,64309,HICKORY,East Natalieland,Female,No,Employed,2024-06-27,"Some college, no degree"
0000000020,000020,Mother,Hodges,Morgan,,,1989-12-15,65470,STE. GENEVIEVE,East Donna,Female,Yes,Unemployed,2025-07-06,High school diploma or equivalent
0000000020,000020,Father,Hodges,Joshua,,,1997-11-02,65470,STE. GENEVIEVE,East Donna,Male,No,Employed,2022-08-15,Associate's degree
0000000021,000021,Court appointed guardian,May,Micheal,,,1976-12-30,64552,HOLT,Brandtside,Male,Yes,Not in Labor Force,2022-03-25,High school diploma or equivalent
0000000021,000021,Grandfather,Smith,Brian,Maxwell,,1984-06-11,64552,HOLT,Brandtside,Male,Yes,Employed,2024-03-16,Associate's degree
0000000022,000022,Foster father,Wolfe,Michael,Christopher,,1990-12-20,65481,CHRISTIAN,Carneystad,Male,No,Unemployed,2021-11-24,Graduate or professional degree
0000000023,000023,Mother,Walker,Nancy,,,1983-07-09,63051,HOLT,Andrewside,Female,Yes,Employed,2024-10-05,No high school diploma
0000000023,000023,Uncle,Ward,James,,,1995-02-12,63051,HOLT,Andrewside,Male,No,Employed,2021-06-02,"Some college, no degree"
0000000024,000024,Grandfather,Garcia,Christopher,Daniel,,1987-12-19,64552,PUTNAM,North Rebecca,Male,Yes,Employed,2022-12-08,No high school diploma
0000000025,000025,Grandfather,Whitehead,Dylan,Joseph,,1978-05-19,64511,OREGON,Lewisberg,Male,Yes,Unemployed,2025-08-29,No high school diploma
0000000025,000025,Court appointed guardian,Curry,Johnny,Alexander,,1973-05-18,64511,OREGON,Lewisberg,Male,No,Unemployed,2023-06-08,Graduate or professional degree
0000000026,000026,Uncle,Benitez,Brian,Robert,,1988-01-01,64123,CARROLL,Aguirreborough,Male,Yes,Employed,2025-05-09,Graduate or professional degree
0000000026,000026,Court appointed guardian,Benton,Joshua,Norman,,1970-06-22,64123,CARROLL,Aguirreborough,Male,Yes,Employed,2022-10-21,High school diploma or equivalent
0000000027,000027,Foster father,Baxter,Gary,Jordan,,1998-11-10,63485,DEKALB,Owenston,Male,No,Not in Labor Force,2023-05-14,"Some college, no degree"
0000000028,000028,Grandfather,Jackson,David,Alan,,1993-07-27,64192,MACON,Laurenville,Male,Yes,Employed,2022-09-13,Bachelor's degree
0000000028,000028,Aunt,Bender,Karen,Renee,,1978-02-19,64192,MACON,Laurenville,Female,No,Unemployed,2025-06-28,Bachelor's degree
0000000029,000029,Uncle,Ward,Douglas,Michael,,1977-09-15,64648,REYNOLDS,Stevenland,Male,No,Employed,2024-03-31,High school diploma or equivalent
0000000029,000029,Stepmother,Henderson,Diana,Angela,,1995-06-20,64648,REYNOLDS,Stevenland,Female,No,Employed,2021-05-05,High school diploma or equivalent
0000000030,000030,Stepmother,Williams,Erica,Emma,,1990-04-04,65014,STONE,North Sarabury,Female,Yes,Part-time,2023-09-18,High school diploma or equivalent
0000000031,000031,Aunt,Hickman,Carla,Doris,,1987-03-06,65561,MARION,East Nicholasfurt,Female,No,Employed,2022-05-15,"Some college, no degree"
0000000031,000031,Foster mother,Hayes,Kathleen,Danielle,,1988-11-27,65561,MARION,East Nicholasfurt,Female,Yes,Employed,2024-11-15,"Some college, no degree"
0000000032,000032,Grandmother,Ferrell,Kristin,Molly,,1994-12-03,64976,TANEY,Mooreport,Female,No,Employed,2023-03-03,"Some college, no degree"
0000000032,000032,Court appointed guardian,Morgan,Matthew,Ronald,,1989-08-01,64976,TANEY,Mooreport,Male,No,Unemployed,2022-10-25,Graduate or professional degree
0000000033,000033,Uncle,Smith,Mitchell,,,1989-02-11,63772,HENRY,Brianshire,Male,No,Employed,2022-01-08,High school diploma or equivalent
0000000034,000034,Foster father,Holden,Christopher,Martin,,1979-06-02,63306,CEDAR,Port Jacobland,Male,No,Employed,2024-10-30,Bachelor's degree
0000000034,000034,Grandfather,Wilson,Joshua,Justin,,1996-05-30,63306,CEDAR,Port Jacobland,Male,No,Employed,2025-09-29,No high school diploma
0000000035,000035,Aunt,Davis,Bianca,Heather,,1976-03-13,63681,LINCOLN,New Brooke,Female,No,Employed,2025-05-03,Graduate or professional degree
0000000036,000036,Father,Silva,David,,,1986-06-10,63302,CHARITON,Sarahborough,Male,No,Employed,2022-03-08,No high school diploma
0000000037,000037,Uncle,Blackwell,James,Andre,,1992-11-15,63942,GASCONADE,Stephenland,Male,No,Employed,2023-01-09,Associate's degree
0000000037,000037,Foster Parent,Williams,Christopher,,,1982-03-03,63942,GASCONADE,Stephenland,Male,No,Not in Labor Force,2021-07-14,"Some college, no degree"
0000000038,000038,Foster mother,Nelson,Julie,Michelle,,2006-05-06,65055,MONITEAU,North Amandahaven,Female,No,Employed,2025-03-20,Associate's degree
0000000038,000038,Aunt,Barnett,Michelle,Julia,,1980-07-10,65055,MONITEAU,North Amandahaven,Female,No,Employed,2022-12-18,No high school diploma
0000000039,000039,Grandmother,Graham,Robin,Jessica,,1989-08-05,65615,SULLIVAN,Justinmouth,Female,No,Part-time,2023-03-26,"Some college, no degree"
0000000039,000039,Adoptive parent,Martin,Cory,Matthew,,2006-07-05,65615,SULLIVAN,Justinmouth,Male,Yes,Employed,2025-03-04,Graduate or professional degree
0000000040,000040,Uncle,Keller,Ronald,Jerome,,1971-03-02,65852,SHANNON,Lake Lisaport,Male,No,Employed,2024-05-18,High school diploma or equivalent
0000000040,000040,Stepmother,Archer,Kimberly,Angela,,1979-07-28,65852,SHANNON,Lake Lisaport,Female,No,Employed,2026-02-13,"Some college, no degree"
0000000041,000041,Uncle,Sloan,Joseph,Kenneth,,1973-12-31,63868,PULASKI,Darrellville,Male,No,Part-time,2024-12-20,Associate's degree
0000000041,000041,Foster father,Rogers,Ryan,Roberto,,1985-09-01,63868,PULASKI,Darrellville,Male,Yes,Part-time,2025-03-08,Graduate or professional degree
0000000042,000042,Father,Clark,James,,,1986-11-21,63974,HOWELL,Jamesview,Male,No,Employed,2025-09-19,High school diploma or equivalent
0000000043,000043,Foster Parent,Adams,Kevin,George,,1985-05-16,64319,BUCHANAN,Calderonton,Male,No,Employed,2021-05-07,No high school diploma
0000000044,000044,Uncle,Tyler,John,Keith,,1987-04-20,65813,CEDAR,Evanmouth,Male,Yes,Employed,2022-09-26,No high school diploma
0000000044,000044,Mother,Walsh,Angela,Stephanie,,2003-04-08,65813,CEDAR,Evanmouth,Female,Yes,Employed,2023-07-16,"Some college, no degree"
0000000045,000045,Father,Jones,Robert,Carl,,1976-01-02,65278,VERNON,New Barry,Male,Yes,Employed,2022-03-26,Associate's degree
0000000045,000045,Stepfather,Jones,Aaron,Michael,,1983-07-05,65278,VERNON,New Barry,Male,No,Part-time,2022-05-10,Bachelor's degree
0000000046,000046,Stepmother,Williams,Jodi,Shelly,,1986-12-11,63375,AUDRAIN,Rachelton,Female,Yes,Employed,2024-06-28,High school diploma or equivalent
0000000046,000046,Grandmother,Hernandez,Erica,Chelsey,,1993-08-30,63375,AUDRAIN,Rachelton,Female,Yes,Employed,2022-12-21,High school diploma or equivalent
0000000047,000047,Court appointed guardian,Patel,Kevin,Michael,,1990-02-14,65429,RALLS,Dicksonberg,Male,Yes,Unemployed,2023-12-26,"Some college, no degree"
0000000047,000047,Stepfather,Garcia,Richard,Isaac,,1989-04-14,65429,RALLS,Dicksonberg,Male,Yes,Employed,2022-01-29,"Some college, no degree"
0000000048,000048,Court appointed guardian,Lawson,Jimmy,Christopher,,2006-04-17,64883,ATCHISON,South Angel,Male,No,Employed,2022-04-12,Graduate or professional degree
0000000049,000049,Stepmother,Pham,Misty,Mercedes,,2004-02-04,65090,BOONE,West Erik,Female,No,Employed,2024-05-04,Bachelor's degree
0000000050,000050,Aunt,Santana,Carla,,,1971-05-07,64801,CEDAR,Port Samantha,Female,No,Employed,2025-04-14,High school diploma or equivalent
0000000050,000050,Foster father,Wade,David,Jonathan,,1977-08-19,64801,CEDAR,Port Samantha,Male,No,Employed,2024-03-27,Associate's degree
0000000051,000051,Adoptive parent,Mitchell,Joseph,Ralph,,1981-01-27,64845,BENTON,South Mark,Male,No,Employed,2021-11-18,High school diploma or equivalent
0000000052,000052,Grandmother,Hall,Jordan,Lauren,,1997-09-03,65689,SCHUYLER,Frazierside,Female,Yes,Employed,2023-03-03,Bachelor's degree
0000000052,000052,Grandfather,Allen,Michael,Carlos,,1973-02-23,65689,SCHUYLER,Frazierside,Male,No,Not in Labor Force,2024-11-14,"Some college, no degree"
0000000053,000053,Stepfather,Green,Jason,Jesse,,1976-07-07,63786,MARIES,Benjaminchester,Male,No,Employed,2026-01-23,"Some college, no degree"
0000000054,000054,Stepfather,Joyce,John,Gavin,,2007-06-22,64838,GASCONADE,South Rachelborough,Male,Yes,Employed,2022-05-02,High school diploma or equivalent
0000000055,000055,Father,Frost,David,Eric,,1970-04-27,63510,VERNON,West Ryan,Male,No,Not in Labor Force,2023-02-27,Graduate or professional degree
0000000055,000055,Foster father,Jenkins,Christopher,Samuel,,1977-08-05,63510,VERNON,West Ryan,Male,Yes,Employed,2022-07-22,"Some college, no degree"
0000000056,000056,Aunt,Rich,Amy,Deborah,,1973-09-12,64935,TANEY,Lake Rachelhaven,Female,Yes,Employed,2023-03-13,Associate's degree
0000000056,000056,Foster Parent,Khan,Craig,,,2007-08-21,64935,TANEY,Lake Rachelhaven,Male,Yes,Employed,2022-02-02,Bachelor's degree
0000000057,000057,Grandfather,Jackson,Shane,Daniel,,2003-03-22,64193,CASS,East Robert,Male,Yes,Employed,2023-12-27,Bachelor's degree
0000000057,000057,Adoptive parent,Diaz,Christopher,Daniel,,1971-06-06,64193,CASS,East Robert,Male,Yes,Employed,2022-08-02,No high school diploma
0000000058,000058,Aunt,Wilson,Helen,Rebecca,,2004-09-13,65383,ST. CLAIR,Richardtown,Female,No,Unemployed,2024-06-19,"Some college, no degree"
0000000059,000059,Father,Lawson,Eric,Devin,,1981-03-31,63782,PLATTE,Stevenmouth,Male,No,Employed,2021-12-10,Associate's degree
0000000059,000059,Mother,Lawson,Angela,Julie,,1980-04-13,63782,PLATTE,Stevenmouth,Female,No,Employed,2024-02-01,"Some college, no degree"
0000000060,000060,Stepfather,Moyer,Edward,Keith,,1988-05-16,64343,BUCHANAN,Lake Christopher,Male,No,Employed,2022-08-25,Bachelor's degree
0000000060,000060,Foster Parent,Miller,Preston,,,1991-04-08,64343,BUCHANAN,Lake Christopher,Male,Yes,Unemployed,2024-10-18,Bachelor's degree
0000000061,000061,Father,Cardenas,Christopher,,,1993-12-22,64500,PLATTE,Lake Lance,Male,No,Part-time,2022-09-15,No high school diploma
0000000062,000062,Stepmother,Riggs,Cynthia,Ashley,,1984-02-27,63819,MARIES,South Robertshire,Female,No,Part-time,2022-01-04,"Some college, no degree"
0000000062,000062,Adoptive parent,Irwin,Brian,,,1985-09-15,63819,MARIES,South Robertshire,Male,No,Employed,2024-12-19,High school diploma or equivalent
0000000063,000063,Aunt,King,Maria,Carrie,,1984-12-05,63531,MORGAN,East Diana,Female,No,Employed,2022-02-04,Associate's degree
0000000063,000063,Father,Snyder,Kyle,,,1989-04-01,63531,MORGAN,East Diana,Male,Yes,Employed,2023-06-01,Associate's degree
0000000064,000064,Mother,Rodriguez,Dawn,,,1997-11-20,63663,CHRISTIAN,Robinsonhaven,Female,No,Employed,2022-10-27,High school diploma or equivalent
0000000065,000065,Court appointed guardian,Rice,Matthew,Marc,,1989-01-18,65343,ST. CLAIR,South Dennismouth,Male,No,Part-time,2025-01-11,No high school diploma
0000000066,000066,Mother,Dodson,Laura,Bailey,,1979-04-28,65300,MILLER,Salazarhaven,Female,No,Employed,2021-03-19,"Some college, no degree"
0000000066,000066,Foster Parent,Green,John,Robert,,2007-07-05,65300,MILLER,Salazarhaven,Male,Yes,Unemployed,2024-06-17,No high school diploma
0000000067,000067,Grandmother,Ramirez,Rebecca,Connie,,2003-10-12,64445,OREGON,Lake Michelle,Female,No,Employed,2022-02-03,Bachelor's degree
0000000067,000067,Foster Parent,Morgan,Michael,David,,1987-11-24,64445,OREGON,Lake Michelle,Male,No,Not in Labor Force,2025-08-25,Associate's degree
0000000068,000068,Grandfather,Gonzalez,Christopher,Frederick,,1973-02-06,63486,PERRY,Simsview,Male,No,Employed,2024-10-29,"Some college, no degree"
0000000068,000068,Grandmother,Petty,Anna,Danielle,,2004-07-24,63486,PERRY,Simsview,Female,Yes,Employed,2022-05-25,Associate's degree
0000000069,000069,Stepfather,Young,John,Mark,,2001-08-04,65087,MERCER,Luisside,Male,No,Not in Labor Force,2023-02-15,High school diploma or equivalent
0000000070,000070,Stepfather,Hernandez,Christopher,Daniel,,1972-01-04,65788,SULLIVAN,North Robert,Male,Yes,Not in Labor Force,2025-04-18,Associate's degree
0000000071,000071,Court appointed guardian,Adams,Benjamin,,,1986-01-02,65768,HOWELL,Steinshire,Male,Yes,Part-time,2023-05-02,"Some college, no degree"
0000000071,000071,Adoptive parent,Garza,Noah,,,1974-07-19,65768,HOWELL,Steinshire,Male,Yes,Employed,2021-05-03,Associate's degree
0000000072,000072,Foster Parent,Gutierrez,Robert,Kurt,,1998-09-15,63599,ST. CLAIR,Smithstad,Male,No,Part-time,2025-10-09,High school diploma or equivalent
0000000072,000072,Father,Johnston,Lawrence,Stanley,,1975-10-17,63599,ST. CLAIR,Smithstad,Male,Yes,Part-time,2025-07-01,Associate's degree
0000000073,000073,Foster mother,Durham,Amy,,,1992-12-02,63021,CARTER,Medinaside,Female,Yes,Employed,2024-09-14,High school diploma or equivalent
0000000074,000074,Grandmother,Morgan,Amanda,,,1986-05-07,63153,GENTRY,Johnsonmouth,Female,No,Employed,2025-06-15,High school diploma or equivalent
0000000074,000074,Mother,Nelson,Deborah,Angela,,1992-04-18,63153,GENTRY,Johnsonmouth,Female,No,Unemployed,2021-09-19,High school diploma or equivalent
0000000075,000075,Foster Parent,Taylor,Steven,Fernando,,2007-11-12,65616,WARREN,New Amanda,Male,Yes,Employed,2021-08-11,Associate's degree
0000000076,000076,Foster Parent,Juarez,Andrew,Theodore,,1977-04-27,65058,RANDOLPH,Taylormouth,Male,Yes,Employed,2026-02-13,High school diploma or equivalent
0000000076,000076,Father,Miller,Christopher,,Jr.,2005-06-26,65058,RANDOLPH,Taylormouth,Male,Yes,Employed,2024-04-23,High school diploma or equivalent
0000000077,000077,Stepfather,Gibson,Jason,Zachary,,2002-11-21,65310,BOONE,Kathleenfurt,Male,Yes,Employed,2026-01-06,"Some college, no degree"
0000000077,000077,Stepmother,Gibson,Margaret,Ashley,,1976-10-07,65310,BOONE,Kathleenfurt,Female,No,Employed,2023-12-23,"Some college, no degree"
0000000078,000078,Foster mother,Miles,Stacy,Deborah,,1991-01-12,63892,SHANNON,Smithside,Female,No,Employed,2021-11-28,"Some college, no degree"
0000000079,000079,Mother,Jones,Amanda,Julia,,1985-03-21,63731,CAPE GIRARDEAU,Port Anthonybury,Female,Yes,Employed,2023-02-09,"Some college, no degree"
0000000080,000080,Foster mother,Hanna,Lindsey,Mallory,,1989-05-28,65880,RALLS,New Staciemouth,Female,No,Employed,2022-07-06,Associate's degree
0000000080,000080,Adoptive parent,Brown,Andrew,,,1972-10-08,65880,RALLS,New Staciemouth,Male,Yes,Employed,2021-08-17,Graduate or professional degree
0000000081,000081,Grandmother,Myers,Sara,Brandy,,1994-08-03,65276,LAWRENCE,Port Loriport,Female,Yes,Employed,2022-04-27,Associate's degree
0000000082,000082,Uncle,Anthony,John,David,,2005-01-24,64519,LINN,Sandersborough,Male,No,Unemployed,2021-07-17,No high school diploma
0000000082,000082,Court appointed guardian,Jackson,William,Kent,,1996-12-25,64519,LINN,Sandersborough,Male,No,Part-time,2025-06-03,Bachelor's degree
0000000083,000083,Stepmother,Garcia,Natalie,Michelle,,1992-12-28,65261,DAVIESS,Melissaville,Female,Yes,Part-time,2023-06-28,High school diploma or equivalent
0000000084,000084,Aunt,Ruiz,Erica,,,1986-10-22,64351,COLE,Caseymouth,Female,Yes,Part-time,2025-09-06,Bachelor's degree
0000000084,000084,Mother,Patel,Stephanie,Michaela,,1993-05-05,64351,COLE,Caseymouth,Female,No,Unemployed,2022-01-21,High school diploma or equivalent
0000000085,000085,Stepfather,Hamilton,David,Gerald,,1989-03-01,65583,TEXAS,Cynthiamouth,Male,No,Employed,2024-01-30,"Some college, no degree"
0000000085,000085,Grandmother,Burke,Mary,,,1990-07-10,65583,TEXAS,Cynthiamouth,Female,No,Employed,2025-05-13,"Some college, no degree"
0000000086,000086,Mother,Sheppard,Jean,,,1986-09-20,65147,CALDWELL,Christinaside,Female,No,Employed,2023-07-20,High school diploma or equivalent
0000000087,000087,Uncle,Wood,Nathan,Brett,,1978-07-04,65317,HICKORY,Melissaland,Male,Yes,Part-time,2022-07-27,"Some college, no degree"
0000000087,000087,Stepfather,Vargas,Michael,,,1974-02-18,65317,HICKORY,Melissaland,Male,Yes,Employed,2021-03-24,Bachelor's degree
0000000088,000088,Stepmother,Hudson,Diana,,Sr.,2002-05-24,64593,TANEY,Rogersfort,Female,Yes,Employed,2024-01-21,High school diploma or equivalent
0000000088,000088,Court appointed guardian,Stokes,William,Glen,,1998-05-28,64593,TANEY,Rogersfort,Male,No,Employed,2025-07-30,Associate's degree
0000000089,000089,Court appointed guardian,Chen,Joseph,Randall,,1993-09-23,63351,JASPER,Joshuaview,Male,No,Unemployed,2026-01-09,High school diploma or equivalent
0000000090,000090,Foster father,Smith,Jeffery,,,1993-09-01,65449,OZARK,Freemanbury,Male,Yes,Employed,2022-04-06,No high school diploma
0000000090,000090,Grandfather,Stark,Eric,John,,1970-11-09,65449,OZARK,Freemanbury,Male,Yes,Employed,2023-08-21,High school diploma or equivalent
0000000091,000091,Foster Parent,Miller,Ryan,Robert,,1973-07-28,65030,PHELPS,West Jeffreybury,Male,No,Not in Labor Force,2022-08-29,Bachelor's degree
0000000092,000092,Mother,Schmidt,Jean,,,1995-05-31,63992,NODAWAY,Barajasside,Female,Yes,Employed,2023-02-07,No high school diploma
0000000093,000093,Court appointed guardian,Garcia,Ryan,Dustin,,1971-02-03,64544,ST. LOUIS CITY,Lake Jamesville,Male,No,Employed,2025-02-17,Graduate or professional degree
0000000094,000094,Aunt,Carter,Sarah,Haley,,1989-04-09,63403,ANDREW,Hillshire,Female,No,Employed,2026-02-13,Bachelor's degree
0000000094,000094,Mother,Lee,Lisa,Cynthia,,1985-08-10,63403,ANDREW,Hillshire,Female,No,Employed,2022-05-29,Associate's degree
0000000095,000095,Court appointed guardian,Hill,Christopher,,,1979-06-27,65853,LINCOLN,West Jeremy,Male,No,Employed,2025-01-26,High school diploma or equivalent
0000000095,000095,Stepfather,Garcia,Phillip,,,2006-02-15,65853,LINCOLN,West Jeremy,Male,Yes,Part-time,2022-11-10,High school diploma or equivalent
0000000096,000096,Foster mother,Butler,Samantha,Miranda,,1996-02-12,64592,LAWRENCE,New Kellyberg,Female,Yes,Employed,2023-01-07,Associate's degree
0000000096,000096,Uncle,Walker,Raymond,Jimmy,,2003-06-23,64592,LAWRENCE,New Kellyberg,Male,Yes,Employed,2022-06-19,"Some college, no degree"
0000000097,000097,Grandfather,Gomez,Robert,Robert,,2005-03-09,65417,PERRY,Taylormouth,Male,No,Part-time,2021-12-23,Associate's degree
0000000098,000098,Foster father,Rivera,Billy,Christopher,,2001-04-13,64572,CLINTON,Port Cameronfort,Male,No,Employed,2023-12-17,"Some college, no degree"
0000000098,000098,Father,Hensley,Dylan,Jimmy,,1992-09-21,64572,CLINTON,Port Cameronfort,Male,No,Employed,2024-05-28,Graduate or professional degree
0000000099,000099,Aunt,Nguyen,Angela,Katherine,,1976-08-30,63170,MONTGOMERY,Christopherbury,Female,Yes,Unemployed,2021-12-29,"Some college, no degree"
0000000099,000099,Foster Parent,Velez,John,Paul,,1993-10-23,63170,MONTGOMERY,Christopherbury,Male,Yes,Part-time,2024-01-07,High school diploma or equivalent
0000000100,000100,Foster mother,Gay,Paige,,,1982-08-30,64151,MONROE,Port Alexandra,Female,No,Part-time,2022-01-06,High school diploma or equivalent
0000000100,000100,Aunt,Scott,Rachel,Jennifer,,2003-05-26,64151,MONROE,Port Alexandra,Female,No,Employed,2025-12-16,Bachelor's degree
0000000101,000101,Uncle,Brown,Justin,Anthony,,1978-09-21,64851,JASPER,Ashleyton,Male,Yes,Employed,2023-10-16,No high school diploma
0000000102,000102,Adoptive parent,Brown,Derrick,Jeffrey,,1980-03-03,64383,GASCONADE,West Donna,Male,Yes,Employed,2021-08-26,Associate's degree
0000000102,000102,Foster Parent,Anderson,Kelly,Bradley,,1975-08-29,64383,GASCONADE,West Donna,Male,No,Employed,2024-01-10,"Some college, no degree"
0000000103,000103,Grandmother,Walker,Erica,Stacy,,1996-08-09,63677,POLK,South Shannonfort,Female,No,Employed,2022-11-28,No high school diploma
0000000104,000104,Foster father,David,Michael,Dakota,,2003-04-18,63561,GREENE,Jonesbury,Male,No,Employed,2023-01-30,No high school diploma
0000000104,000104,Aunt,Mitchell,Danielle,Candace,,1972-11-17,63561,GREENE,Jonesbury,Female,Yes,Employed,2021-11-10,Associate's degree
0000000105,000105,Grandmother,Nelson,Jessica,Carol,,1989-08-18,64014,CARTER,South Danny,Female,Yes,Unemployed,2021-11-28,High school diploma or equivalent
0000000105,000105,Stepfather,Guerrero,James,David,,1980-03-20,64014,CARTER,South Danny,Male,No,Employed,2023-03-30,No high school diploma
0000000106,000106,Adoptive parent,Fox,Benjamin,Kyle,,1977-05-20,65328,WASHINGTON,East Laurashire,Male,No,Part-time,2021-12-03,"Some college, no degree"
0000000107,000107,Foster father,Bailey,Christopher,James,,1993-02-16,65598,OSAGE,Hollyview,Male,No,Unemployed,2025-05-11,"Some college, no degree"
0000000107,000107,Grandfather,Williams,Matthew,Michael,,1974-02-05,65598,OSAGE,Hollyview,Male,Yes,Unemployed,2025-12-23,"Some college, no degree"
